epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6116.36,2.01106,3.21216,1.93894,0.31523,0.18199,0.14193,0.08518,1.5793,2.24333,1.63155,0.0670022,0.000333311,0.000333311
2,11941.6,1.5705,2.45284,1.62678,0.4111,0.26598,0.24819,0.16149,1.35915,1.82679,1.47484,0.0340016,0.000665993,0.000665993
3,17701.5,1.44008,2.15876,1.53035,0.45761,0.30275,0.30093,0.20202,1.27239,1.64979,1.40675,0.000998329,0.000996074,0.000996074
4,23432.5,1.36126,1.96052,1.47285,0.46706,0.33259,0.3371,0.22915,1.22431,1.55874,1.36992,0.000991232,0.000991232,0.000991232
5,29161.5,1.30509,1.82333,1.43057,0.48514,0.35242,0.35766,0.24576,1.19393,1.50875,1.34773,0.000984449,0.000984449,0.000984449
6,34893.3,1.26738,1.72889,1.40139,0.51106,0.35984,0.37044,0.25679,1.17418,1.48214,1.33236,0.000975773,0.000975773,0.000975773
7,40678,1.23528,1.65324,1.37706,0.52646,0.36379,0.38099,0.26543,1.15992,1.46661,1.3213,0.000965239,0.000965239,0.000965239
8,46735.5,1.21353,1.5941,1.3603,0.53544,0.37366,0.39145,0.27374,1.14728,1.45308,1.31125,0.000952889,0.000952889,0.000952889
9,52509.8,1.19301,1.54501,1.3457,0.54801,0.37664,0.40049,0.28096,1.13603,1.43833,1.30266,0.000938772,0.000938772,0.000938772
10,58328.9,1.17697,1.50072,1.33239,0.55373,0.38402,0.41033,0.28888,1.12493,1.42047,1.29341,0.000922942,0.000922942,0.000922942
11,64132,1.161,1.46589,1.32102,0.56369,0.38858,0.42029,0.29662,1.11262,1.39485,1.28352,0.000905463,0.000905463,0.000905463
12,70165.3,1.14866,1.43432,1.31182,0.57469,0.3952,0.43153,0.30547,1.10057,1.3639,1.2736,0.000886404,0.000886404,0.000886404
13,76139.7,1.13785,1.40622,1.30302,0.57845,0.40603,0.44328,0.31439,1.08987,1.33429,1.26408,0.000865839,0.000865839,0.000865839
14,82092.3,1.12791,1.38185,1.29332,0.58918,0.41723,0.45365,0.32297,1.07952,1.30099,1.2546,0.000843851,0.000843851,0.000843851
15,87850.6,1.11651,1.35365,1.28431,0.59684,0.42563,0.46376,0.3308,1.06932,1.26637,1.24601,0.000820525,0.000820525,0.000820525
16,93581.8,1.10957,1.33721,1.28004,0.60074,0.43474,0.47401,0.33866,1.05989,1.23429,1.23808,0.000795954,0.000795954,0.000795954
17,99319.4,1.10001,1.31185,1.27071,0.60842,0.44139,0.48431,0.34674,1.05131,1.20337,1.23063,0.000770234,0.000770234,0.000770234
18,105060,1.09237,1.29543,1.26558,0.60766,0.44739,0.49377,0.35384,1.04375,1.17495,1.22423,0.000743468,0.000743468,0.000743468
19,110791,1.08602,1.27714,1.25968,0.61109,0.4546,0.50191,0.35992,1.0367,1.15085,1.21826,0.000715761,0.000715761,0.000715761
