epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1315.73,2.44264,3.85104,2.22312,0.44102,0.02577,0.01641,0.00812,2.24329,3.50955,2.06323,0.0670111,0.000333221,0.000333221
2,2591.58,1.92501,3.23477,1.86909,0.32943,0.08494,0.04921,0.02636,1.84425,2.89486,1.83823,0.0340105,0.000665903,0.000665903
3,3882.48,1.76872,2.9799,1.76046,0.29784,0.12198,0.0805,0.04465,1.72409,2.56216,1.72213,0.00100723,0.000995985,0.000995985
4,5170.12,1.66933,2.7703,1.69237,0.31337,0.15726,0.10698,0.06261,1.61712,2.42701,1.66733,0.000991232,0.000991232,0.000991232
5,6459.72,1.60951,2.63368,1.64907,0.28968,0.17503,0.12993,0.07637,1.57156,2.28627,1.60988,0.000984449,0.000984449,0.000984449
6,7789.44,1.56214,2.53059,1.61981,0.31591,0.20255,0.15078,0.09022,1.51812,2.17818,1.58063,0.000975773,0.000975773,0.000975773
7,9071.24,1.52168,2.42585,1.58935,0.31895,0.21499,0.17176,0.10456,1.47282,2.07698,1.55371,0.000965239,0.000965239,0.000965239
8,10336.3,1.4928,2.34846,1.56583,0.3494,0.22805,0.19133,0.11834,1.43086,2.00274,1.52391,0.000952889,0.000952889,0.000952889
9,11581,1.46543,2.27466,1.54734,0.36467,0.2414,0.21049,0.13312,1.39166,1.92831,1.49006,0.000938772,0.000938772,0.000938772
10,12822.1,1.44441,2.23171,1.53118,0.38196,0.25768,0.22109,0.13942,1.37933,1.87272,1.47397,0.000922942,0.000922942,0.000922942
11,14067.1,1.424,2.17515,1.51567,0.39132,0.25934,0.23544,0.15012,1.35871,1.83139,1.46311,0.000905463,0.000905463,0.000905463
12,15294.4,1.4037,2.11382,1.49821,0.39739,0.27609,0.25168,0.16278,1.33569,1.77725,1.44531,0.000886404,0.000886404,0.000886404
13,16514.4,1.38837,2.07736,1.49033,0.39794,0.28159,0.25878,0.16852,1.31598,1.74254,1.43212,0.000865839,0.000865839,0.000865839
14,17743.6,1.37087,2.03514,1.47688,0.41566,0.28796,0.27243,0.17774,1.30103,1.70172,1.41959,0.000843851,0.000843851,0.000843851
15,18988,1.35292,1.99531,1.4644,0.42897,0.30175,0.2874,0.18796,1.27925,1.66411,1.40685,0.000820525,0.000820525,0.000820525
16,20208.4,1.34291,1.95736,1.45585,0.42536,0.30956,0.29769,0.19735,1.2732,1.6396,1.40397,0.000795954,0.000795954,0.000795954
17,21439.7,1.32476,1.91717,1.44555,0.42663,0.31408,0.30375,0.20051,1.25914,1.60477,1.39131,0.000770234,0.000770234,0.000770234
18,22670.4,1.31379,1.88445,1.43281,0.43273,0.32259,0.3121,0.2081,1.24681,1.57998,1.38271,0.000743468,0.000743468,0.000743468
19,23953.3,1.30448,1.86782,1.42767,0.44932,0.32301,0.31973,0.21333,1.2393,1.56507,1.37511,0.000715761,0.000715761,0.000715761
20,25217.9,1.2948,1.82288,1.41518,0.46064,0.33669,0.32851,0.21929,1.2296,1.53729,1.36638,0.000687222,0.000687222,0.000687222
21,26449.7,1.28404,1.80582,1.40989,0.45265,0.33914,0.33516,0.22455,1.21818,1.51706,1.36286,0.000657963,0.000657963,0.000657963
22,27706.8,1.26583,1.77732,1.39736,0.44768,0.3408,0.33929,0.22825,1.21292,1.49773,1.35432,0.000628101,0.000628101,0.000628101
23,28940.6,1.26051,1.75004,1.39115,0.48495,0.34706,0.34735,0.23522,1.2037,1.4786,1.34941,0.000597754,0.000597754,0.000597754
24,30161,1.24636,1.71703,1.38219,0.49123,0.34876,0.35464,0.23977,1.19826,1.46416,1.34569,0.00056704,0.00056704,0.00056704
25,31373.5,1.2338,1.69469,1.37784,0.48049,0.35868,0.36063,0.2445,1.1931,1.4516,1.34303,0.000536081,0.000536081,0.000536081
26,32587,1.22714,1.66924,1.37148,0.48355,0.35926,0.3658,0.24891,1.18731,1.43614,1.33742,0.000505,0.000505,0.000505
27,33797.4,1.21706,1.65197,1.36334,0.48152,0.36634,0.3686,0.25102,1.18211,1.42463,1.33434,0.000473919,0.000473919,0.000473919
28,35009.3,1.20798,1.61924,1.35428,0.49332,0.37063,0.37302,0.25451,1.17807,1.41488,1.33058,0.00044296,0.00044296,0.00044296
29,36225.3,1.20085,1.60053,1.35258,0.50373,0.3706,0.37637,0.25658,1.1744,1.40434,1.32837,0.000412246,0.000412246,0.000412246
30,37466.8,1.1876,1.58325,1.34227,0.49899,0.37278,0.37991,0.25885,1.17193,1.39673,1.32626,0.000381899,0.000381899,0.000381899
31,38706,1.18689,1.56459,1.34105,0.50104,0.37543,0.3824,0.26098,1.16913,1.38823,1.32385,0.000352037,0.000352037,0.000352037
32,39977.2,1.17702,1.54445,1.33528,0.50948,0.37621,0.38488,0.26282,1.16602,1.38162,1.32163,0.000322778,0.000322778,0.000322778
33,41187.1,1.16576,1.52288,1.32729,0.51166,0.37906,0.38767,0.26552,1.16253,1.37651,1.31868,0.000294239,0.000294239,0.000294239
34,42459.3,1.1595,1.50122,1.32177,0.51119,0.38369,0.38939,0.26665,1.16083,1.37103,1.31708,0.000266532,0.000266532,0.000266532
35,43744.1,1.15254,1.48152,1.31648,0.51295,0.38519,0.39083,0.26736,1.15942,1.36696,1.31542,0.000239766,0.000239766,0.000239766
36,45046.3,1.14705,1.46777,1.31085,0.51189,0.38762,0.39255,0.26897,1.15793,1.36315,1.31409,0.000214046,0.000214046,0.000214046
37,46332,1.14226,1.45019,1.30661,0.51663,0.38794,0.39383,0.26965,1.15663,1.35933,1.31281,0.000189475,0.000189475,0.000189475
38,47637.9,1.13898,1.43845,1.30346,0.51053,0.39158,0.39495,0.27067,1.1561,1.3562,1.31201,0.000166149,0.000166149,0.000166149
39,48990.7,1.13215,1.42681,1.30246,0.5126,0.39283,0.39653,0.2718,1.15525,1.35358,1.31115,0.000144161,0.000144161,0.000144161
40,50257.5,1.12906,1.41576,1.29859,0.51485,0.39386,0.39764,0.27273,1.15438,1.35075,1.3104,0.000123596,0.000123596,0.000123596
41,51551.6,1.10602,1.31109,1.28152,0.50961,0.3972,0.39837,0.27332,1.1538,1.34903,1.30977,0.000104537,0.000104537,0.000104537
42,52806.3,1.09101,1.27809,1.27153,0.51238,0.39609,0.39905,0.27375,1.15341,1.34761,1.30954,8.70577e-05,8.70577e-05,8.70577e-05
43,54044.5,1.08633,1.26305,1.27036,0.51468,0.39625,0.39987,0.27401,1.15328,1.34661,1.30972,7.12282e-05,7.12282e-05,7.12282e-05
44,55291.8,1.08173,1.24841,1.26612,0.51359,0.39667,0.40035,0.27457,1.15285,1.34558,1.30962,5.71106e-05,5.71106e-05,5.71106e-05
45,56577.1,1.07661,1.2399,1.26281,0.51726,0.3959,0.40101,0.27512,1.1525,1.34449,1.30927,4.47606e-05,4.47606e-05,4.47606e-05
46,57836.8,1.07445,1.23022,1.25942,0.51912,0.39518,0.40141,0.27524,1.15231,1.34362,1.30921,3.4227e-05,3.4227e-05,3.4227e-05
47,59200.7,1.07084,1.22711,1.25664,0.52016,0.39518,0.40164,0.2755,1.15226,1.34302,1.30923,2.55513e-05,2.55513e-05,2.55513e-05
48,60457.2,1.07181,1.22606,1.25851,0.51735,0.39667,0.40188,0.27576,1.15203,1.34251,1.3092,1.87678e-05,1.87678e-05,1.87678e-05
49,61679,1.06821,1.21776,1.25753,0.51961,0.39689,0.40206,0.27591,1.15195,1.34193,1.30906,1.39032e-05,1.39032e-05,1.39032e-05
50,62880.9,1.06724,1.21414,1.25565,0.51962,0.39761,0.40235,0.27598,1.15191,1.3414,1.30906,1.09768e-05,1.09768e-05,1.09768e-05
