epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1397.13,2.42579,3.84038,2.21775,0.42992,0.04518,0.02463,0.01181,2.15015,3.22647,2.06488,0.0670107,0.000333225,0.000333225
2,2731.8,1.90751,3.20145,1.865,0.37341,0.09536,0.06165,0.03315,1.82432,2.74388,1.814,0.0340101,0.000665907,0.000665907
3,4058.76,1.75813,2.9412,1.75996,0.35181,0.12422,0.08909,0.05009,1.69918,2.54472,1.71299,0.0010068,0.000995989,0.000995989
4,5398.71,1.66284,2.73626,1.68862,0.29017,0.16349,0.10746,0.06065,1.62423,2.40269,1.64829,0.000991232,0.000991232,0.000991232
5,6723.27,1.59898,2.60118,1.64473,0.32965,0.19163,0.14434,0.08692,1.5456,2.20664,1.60505,0.000984449,0.000984449,0.000984449
6,8054.55,1.54987,2.48089,1.61142,0.31229,0.20123,0.15965,0.09733,1.48927,2.11942,1.55502,0.000975773,0.000975773,0.000975773
7,9404.93,1.51347,2.40425,1.58606,0.31751,0.22594,0.18309,0.11388,1.44486,2.04395,1.53886,0.000965239,0.000965239,0.000965239
8,10732.1,1.47801,2.317,1.55814,0.33222,0.23923,0.19856,0.12435,1.4283,1.96913,1.51098,0.000952889,0.000952889,0.000952889
9,12055.3,1.461,2.25152,1.54395,0.35991,0.25432,0.21834,0.1378,1.38139,1.90296,1.48431,0.000938772,0.000938772,0.000938772
10,13381.4,1.43442,2.18626,1.52377,0.35656,0.26451,0.23418,0.14889,1.3731,1.84901,1.47391,0.000922942,0.000922942,0.000922942
11,14709.4,1.40985,2.14247,1.51011,0.38923,0.26473,0.24782,0.1599,1.33578,1.79057,1.45209,0.000905463,0.000905463,0.000905463
12,16034.5,1.39786,2.09367,1.49507,0.40281,0.27816,0.25995,0.1687,1.32528,1.75585,1.44168,0.000886404,0.000886404,0.000886404
13,17357.7,1.37993,2.05059,1.48608,0.39702,0.28435,0.27092,0.1771,1.30224,1.71107,1.42474,0.000865839,0.000865839,0.000865839
14,18684.9,1.36326,2.00963,1.47369,0.408,0.29821,0.28521,0.18786,1.28783,1.67257,1.41254,0.000843851,0.000843851,0.000843851
15,20053.7,1.34179,1.96713,1.45912,0.41027,0.30966,0.29819,0.19596,1.27537,1.6374,1.40679,0.000820525,0.000820525,0.000820525
16,21386.4,1.33159,1.93505,1.45108,0.4322,0.31911,0.30699,0.2033,1.25871,1.60303,1.39613,0.000795954,0.000795954,0.000795954
17,22675.4,1.31725,1.89118,1.44059,0.43527,0.32226,0.31513,0.21094,1.24245,1.57941,1.38402,0.000770234,0.000770234,0.000770234
18,24000.6,1.31303,1.86668,1.43714,0.42813,0.33365,0.32484,0.21652,1.23252,1.55472,1.3729,0.000743468,0.000743468,0.000743468
19,25267.3,1.29846,1.83458,1.42459,0.43885,0.33775,0.33385,0.22385,1.22512,1.53021,1.36933,0.000715761,0.000715761,0.000715761
20,26528.2,1.28703,1.80587,1.41647,0.46416,0.33723,0.34007,0.22887,1.21559,1.50995,1.3611,0.000687222,0.000687222,0.000687222
21,27794,1.27034,1.77936,1.40461,0.47397,0.34164,0.34781,0.2353,1.20616,1.49118,1.35413,0.000657963,0.000657963,0.000657963
22,29092.1,1.2644,1.7503,1.40014,0.46984,0.35048,0.35445,0.24067,1.20042,1.47076,1.34887,0.000628101,0.000628101,0.000628101
23,30432.5,1.24905,1.72363,1.38846,0.46696,0.35633,0.36036,0.2451,1.19073,1.45727,1.34275,0.000597754,0.000597754,0.000597754
24,31736.1,1.24275,1.70002,1.38541,0.47031,0.36018,0.36373,0.24783,1.18874,1.44307,1.34022,0.00056704,0.00056704,0.00056704
25,33051.3,1.23319,1.66972,1.37427,0.47378,0.35847,0.36942,0.25168,1.1841,1.42689,1.33478,0.000536081,0.000536081,0.000536081
26,34407.3,1.22273,1.65022,1.36773,0.48264,0.35996,0.37275,0.25432,1.17684,1.41708,1.3307,0.000505,0.000505,0.000505
27,35651.9,1.21589,1.6258,1.36223,0.50075,0.36223,0.37625,0.25732,1.17227,1.40686,1.32708,0.000473919,0.000473919,0.000473919
28,36895.4,1.20472,1.60639,1.35657,0.47699,0.37276,0.38069,0.2606,1.16949,1.39526,1.32482,0.00044296,0.00044296,0.00044296
29,38137.1,1.1949,1.58255,1.34977,0.48292,0.38005,0.38441,0.26328,1.1643,1.38693,1.3214,0.000412246,0.000412246,0.000412246
30,39377.2,1.18868,1.56559,1.34288,0.48855,0.38203,0.38656,0.26488,1.16103,1.37949,1.31873,0.000381899,0.000381899,0.000381899
31,40617.2,1.17346,1.53249,1.33319,0.48704,0.38188,0.3894,0.26703,1.15742,1.37176,1.31602,0.000352037,0.000352037,0.000352037
32,41885.4,1.16711,1.5201,1.33012,0.49324,0.37974,0.39167,0.26897,1.15553,1.36438,1.31407,0.000322778,0.000322778,0.000322778
33,43133.5,1.16291,1.50364,1.32581,0.49298,0.38274,0.39434,0.2706,1.15362,1.3584,1.31272,0.000294239,0.000294239,0.000294239
34,44456.2,1.15704,1.48616,1.32312,0.49208,0.3842,0.39603,0.2722,1.15275,1.35429,1.3126,0.000266532,0.000266532,0.000266532
35,45727.4,1.14938,1.46343,1.31446,0.49203,0.38709,0.39814,0.27374,1.15134,1.35018,1.31185,0.000239766,0.000239766,0.000239766
36,46988.5,1.14277,1.45561,1.31187,0.49515,0.38671,0.39938,0.27499,1.15073,1.34602,1.3113,0.000214046,0.000214046,0.000214046
37,48264.1,1.13463,1.43195,1.3047,0.49832,0.38935,0.40083,0.27634,1.14924,1.34259,1.31009,0.000189475,0.000189475,0.000189475
38,49645.6,1.13298,1.42424,1.30262,0.49694,0.3931,0.40227,0.27742,1.14791,1.33949,1.3087,0.000166149,0.000166149,0.000166149
39,50973,1.12654,1.40854,1.30201,0.49834,0.39347,0.40351,0.27832,1.14671,1.33703,1.30794,0.000144161,0.000144161,0.000144161
40,52328.2,1.11959,1.40127,1.29584,0.49608,0.39529,0.40409,0.27884,1.14628,1.33428,1.30746,0.000123596,0.000123596,0.000123596
41,53636.5,1.09742,1.28908,1.28002,0.49656,0.39671,0.40486,0.2792,1.14541,1.33191,1.30677,0.000104537,0.000104537,0.000104537
42,54935.1,1.08856,1.25928,1.27212,0.49745,0.39637,0.4059,0.2799,1.14507,1.33006,1.3062,8.70577e-05,8.70577e-05,8.70577e-05
43,56231.7,1.08254,1.2453,1.27026,0.49607,0.40014,0.40681,0.28047,1.14471,1.32874,1.30594,7.12282e-05,7.12282e-05,7.12282e-05
44,57553.2,1.07664,1.23664,1.2633,0.49847,0.40003,0.40729,0.28071,1.14441,1.32744,1.30572,5.71106e-05,5.71106e-05,5.71106e-05
