epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1312.5,2.42632,3.8445,2.22356,0.53577,0.04368,0.0283,0.01397,2.17365,3.30534,2.00922,0.0670112,0.000333221,0.000333221
2,2574.57,1.89898,3.16496,1.85912,0.36016,0.09952,0.06023,0.03307,1.85038,2.82534,1.84032,0.0340105,0.000665903,0.000665903
3,3797.98,1.74519,2.89663,1.75623,0.27788,0.13262,0.089,0.05075,1.7411,2.56656,1.73265,0.00100725,0.000995985,0.000995985
4,5023.5,1.65575,2.69979,1.69292,0.28336,0.16631,0.11648,0.06782,1.62106,2.38249,1.67253,0.000991232,0.000991232,0.000991232
5,6237.72,1.59262,2.5473,1.64632,0.31697,0.18064,0.13939,0.0836,1.56738,2.24731,1.62208,0.000984449,0.000984449,0.000984449
6,7481.57,1.53933,2.43449,1.61051,0.29727,0.2172,0.17129,0.10495,1.49558,2.10114,1.56827,0.000975773,0.000975773,0.000975773
7,8745.9,1.50627,2.3353,1.58525,0.34992,0.22524,0.1916,0.11795,1.46463,2.02449,1.5454,0.000965239,0.000965239,0.000965239
8,9989.23,1.47053,2.2642,1.55852,0.36131,0.23695,0.20839,0.13109,1.43372,1.9679,1.52169,0.000952889,0.000952889,0.000952889
9,11222,1.44908,2.18836,1.53594,0.38621,0.25279,0.22706,0.14295,1.3994,1.89192,1.49346,0.000938772,0.000938772,0.000938772
10,12516.1,1.42233,2.13237,1.52087,0.38034,0.26874,0.24642,0.15973,1.37075,1.84046,1.48029,0.000922942,0.000922942,0.000922942
11,13737.2,1.39914,2.07267,1.50438,0.41887,0.27716,0.26176,0.16938,1.3525,1.7948,1.46766,0.000905463,0.000905463,0.000905463
12,14966.1,1.38829,2.03385,1.49498,0.4116,0.27537,0.26845,0.17454,1.33804,1.75193,1.45369,0.000886404,0.000886404,0.000886404
13,16192.9,1.36085,1.98509,1.47577,0.43758,0.29267,0.28592,0.1891,1.31159,1.69791,1.43454,0.000865839,0.000865839,0.000865839
14,17414.4,1.34857,1.93873,1.46525,0.41926,0.30199,0.29317,0.19417,1.2962,1.66997,1.41998,0.000843851,0.000843851,0.000843851
15,18647.1,1.3376,1.90586,1.45552,0.42461,0.31089,0.30689,0.20314,1.28573,1.63962,1.41419,0.000820525,0.000820525,0.000820525
16,19860.8,1.31929,1.86913,1.44384,0.43106,0.32191,0.31584,0.21061,1.2727,1.61068,1.40191,0.000795954,0.000795954,0.000795954
17,21092.7,1.30757,1.83066,1.43392,0.43369,0.3295,0.32308,0.21521,1.26074,1.58786,1.3952,0.000770234,0.000770234,0.000770234
18,22309,1.29441,1.80788,1.42503,0.45587,0.33789,0.33614,0.22439,1.24613,1.55907,1.3833,0.000743468,0.000743468,0.000743468
19,23588.2,1.28551,1.76981,1.41673,0.45533,0.34682,0.34024,0.22857,1.23528,1.53338,1.37477,0.000715761,0.000715761,0.000715761
20,24833.9,1.27166,1.74448,1.40625,0.47605,0.34661,0.34967,0.23554,1.22429,1.51189,1.3682,0.000687222,0.000687222,0.000687222
21,26098.4,1.26196,1.71382,1.40144,0.46616,0.35759,0.35558,0.24037,1.2166,1.48871,1.36323,0.000657963,0.000657963,0.000657963
22,27344.6,1.24769,1.68633,1.39183,0.4837,0.3643,0.36558,0.24727,1.21145,1.47466,1.35731,0.000628101,0.000628101,0.000628101
23,28587.3,1.23924,1.66427,1.38113,0.49433,0.35765,0.36858,0.24992,1.20172,1.46095,1.34905,0.000597754,0.000597754,0.000597754
24,29835.9,1.22797,1.63416,1.37526,0.49933,0.36383,0.37365,0.25381,1.19747,1.44579,1.34659,0.00056704,0.00056704,0.00056704
25,31043,1.21454,1.6103,1.36621,0.50408,0.36514,0.37845,0.25799,1.19233,1.42955,1.34295,0.000536081,0.000536081,0.000536081
26,32251.6,1.2093,1.58417,1.36066,0.50853,0.37153,0.3834,0.26202,1.18789,1.41858,1.34045,0.000505,0.000505,0.000505
27,33516.1,1.19936,1.57017,1.35535,0.49522,0.3836,0.38829,0.26554,1.18157,1.40752,1.33659,0.000473919,0.000473919,0.000473919
28,34724.7,1.1875,1.54476,1.34642,0.50802,0.38172,0.39153,0.26744,1.17639,1.39604,1.33189,0.00044296,0.00044296,0.00044296
29,35937.4,1.18182,1.52037,1.34365,0.50037,0.38784,0.39618,0.27108,1.17259,1.38707,1.32858,0.000412246,0.000412246,0.000412246
30,37144.5,1.17354,1.49422,1.33543,0.50838,0.38479,0.39766,0.27287,1.16889,1.37892,1.32548,0.000381899,0.000381899,0.000381899
31,38392.2,1.17077,1.48167,1.3323,0.51289,0.387,0.40033,0.2751,1.16654,1.37222,1.3231,0.000352037,0.000352037,0.000352037
32,39614.6,1.15357,1.45211,1.32123,0.5222,0.38632,0.40308,0.27678,1.16394,1.3658,1.32126,0.000322778,0.000322778,0.000322778
33,40824.6,1.14854,1.44243,1.31789,0.52702,0.3841,0.40539,0.2786,1.16275,1.35923,1.32119,0.000294239,0.000294239,0.000294239
34,42053.6,1.1399,1.42159,1.31211,0.51666,0.39025,0.40792,0.27992,1.16051,1.35335,1.31884,0.000266532,0.000266532,0.000266532
35,43271.8,1.13588,1.40204,1.30782,0.5157,0.39049,0.40859,0.28035,1.1587,1.34964,1.31737,0.000239766,0.000239766,0.000239766
36,44497.1,1.12914,1.39331,1.30508,0.52333,0.39282,0.41022,0.28174,1.15784,1.34574,1.31646,0.000214046,0.000214046,0.000214046
37,45703.3,1.12126,1.37388,1.29947,0.5267,0.39203,0.41171,0.28278,1.15633,1.34241,1.3153,0.000189475,0.000189475,0.000189475
38,46952.7,1.11918,1.36689,1.29624,0.52922,0.39351,0.41297,0.28375,1.15496,1.33857,1.31386,0.000166149,0.000166149,0.000166149
39,48195.3,1.11039,1.35231,1.28999,0.53328,0.39395,0.41417,0.28458,1.15341,1.33585,1.31278,0.000144161,0.000144161,0.000144161
40,49406.8,1.10911,1.34631,1.29079,0.53272,0.39548,0.41508,0.28522,1.15235,1.33366,1.31184,0.000123596,0.000123596,0.000123596
41,50639.8,1.08378,1.23228,1.26954,0.53542,0.39584,0.41525,0.28562,1.15207,1.33154,1.31167,0.000104537,0.000104537,0.000104537
42,51842.5,1.07057,1.20598,1.26196,0.52838,0.39976,0.41602,0.28611,1.15136,1.32967,1.31121,8.70577e-05,8.70577e-05,8.70577e-05
43,53043,1.06448,1.19394,1.25833,0.52439,0.40287,0.41701,0.28635,1.15089,1.32804,1.31101,7.12282e-05,7.12282e-05,7.12282e-05
44,54243.6,1.05693,1.17536,1.24958,0.52085,0.40557,0.41738,0.28664,1.15031,1.32682,1.31067,5.71106e-05,5.71106e-05,5.71106e-05
45,55444,1.05342,1.17348,1.25008,0.52235,0.40519,0.41754,0.28688,1.1498,1.32613,1.31063,4.47606e-05,4.47606e-05,4.47606e-05
46,56645.7,1.05144,1.1644,1.24908,0.5255,0.40389,0.41786,0.28737,1.1492,1.32533,1.31032,3.4227e-05,3.4227e-05,3.4227e-05
47,57843.6,1.05081,1.15957,1.24686,0.5266,0.40407,0.41774,0.28758,1.14908,1.32495,1.31019,2.55513e-05,2.55513e-05,2.55513e-05
48,59050.2,1.04844,1.15379,1.24404,0.52742,0.40445,0.41798,0.28772,1.1492,1.32443,1.31026,1.87678e-05,1.87678e-05,1.87678e-05
49,60252.1,1.04695,1.15316,1.24569,0.52979,0.40377,0.41818,0.28785,1.14913,1.32404,1.31035,1.39032e-05,1.39032e-05,1.39032e-05
50,61454.5,1.04771,1.14847,1.24325,0.53068,0.40427,0.41842,0.28791,1.14905,1.32374,1.31039,1.09768e-05,1.09768e-05,1.09768e-05
