epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1379.85,2.40712,3.80371,2.19585,0.45904,0.04627,0.02699,0.01264,2.14342,3.21683,2.04754,0.0670103,0.000333229,0.000333229
2,2718.87,1.88504,3.12902,1.84101,0.33249,0.09453,0.06209,0.03415,1.88191,2.84105,1.83845,0.0340097,0.000665911,0.000665911
3,4123.48,1.73541,2.86071,1.73909,0.31143,0.14136,0.09669,0.05387,1.69124,2.502,1.70295,0.00100643,0.000995993,0.000995993
4,5592.78,1.64578,2.65993,1.67535,0.28437,0.18488,0.13206,0.07796,1.58354,2.29278,1.62893,0.000991232,0.000991232,0.000991232
5,7004.49,1.57609,2.50098,1.62343,0.29903,0.19796,0.15703,0.09479,1.53722,2.17726,1.59014,0.000984449,0.000984449,0.000984449
6,8390.26,1.52765,2.38561,1.59056,0.30737,0.22553,0.17996,0.1105,1.48357,2.07111,1.55306,0.000975773,0.000975773,0.000975773
7,9733.77,1.48998,2.29375,1.56532,0.35471,0.23536,0.20513,0.12844,1.44955,1.98706,1.52042,0.000965239,0.000965239,0.000965239
8,11038.8,1.46418,2.22693,1.54174,0.36118,0.24463,0.21973,0.13808,1.41734,1.91912,1.49601,0.000952889,0.000952889,0.000952889
9,12373.8,1.44163,2.1591,1.52153,0.38549,0.26445,0.24236,0.15598,1.3826,1.84361,1.47669,0.000938772,0.000938772,0.000938772
10,13763.6,1.41043,2.10616,1.50473,0.41736,0.26868,0.25326,0.16261,1.36118,1.80364,1.46126,0.000922942,0.000922942,0.000922942
11,15144.1,1.38944,2.04136,1.48605,0.40283,0.28271,0.2701,0.17546,1.34047,1.75245,1.44352,0.000905463,0.000905463,0.000905463
12,16470.7,1.37183,1.99155,1.47221,0.43771,0.29313,0.2836,0.18511,1.30988,1.70287,1.4237,0.000886404,0.000886404,0.000886404
13,17842.4,1.35624,1.95153,1.46222,0.44921,0.29711,0.29606,0.19493,1.29834,1.66978,1.41726,0.000865839,0.000865839,0.000865839
14,19223.1,1.33865,1.91032,1.45146,0.45389,0.30772,0.30657,0.20302,1.28016,1.63348,1.40274,0.000843851,0.000843851,0.000843851
15,20638.8,1.32681,1.87768,1.4416,0.43054,0.3197,0.31699,0.20976,1.27103,1.60265,1.39451,0.000820525,0.000820525,0.000820525
16,22057,1.31077,1.84098,1.4303,0.47617,0.32083,0.32579,0.2184,1.25633,1.57473,1.38411,0.000795954,0.000795954,0.000795954
17,23470.1,1.29939,1.80503,1.42354,0.46917,0.33454,0.33722,0.22477,1.24448,1.54909,1.37678,0.000770234,0.000770234,0.000770234
18,24884.7,1.28566,1.77453,1.41272,0.46768,0.34879,0.34722,0.23356,1.23115,1.51644,1.36464,0.000743468,0.000743468,0.000743468
19,26264.9,1.27081,1.73715,1.40132,0.47537,0.34783,0.35331,0.23858,1.21951,1.49583,1.35638,0.000715761,0.000715761,0.000715761
20,27655,1.26283,1.71149,1.39289,0.47295,0.35805,0.36061,0.2446,1.20996,1.47631,1.34771,0.000687222,0.000687222,0.000687222
21,29029.7,1.25251,1.69189,1.38679,0.48699,0.36078,0.36429,0.24759,1.20456,1.46169,1.34393,0.000657963,0.000657963,0.000657963
22,30404.5,1.24174,1.65438,1.37849,0.49752,0.36487,0.37079,0.25117,1.19472,1.43879,1.33801,0.000628101,0.000628101,0.000628101
23,31780.9,1.23045,1.63485,1.37181,0.49529,0.3766,0.37882,0.25682,1.18863,1.42595,1.33428,0.000597754,0.000597754,0.000597754
24,33157.6,1.21686,1.6052,1.36164,0.50939,0.37601,0.38358,0.26125,1.18103,1.41135,1.32814,0.00056704,0.00056704,0.00056704
