Logging to logs-clustering\active_learning_20250625_040955
C:\Users\Gabriel\AppData\Roaming\Python\Python313\site-packages\stable_baselines3\common\policies.py:486: UserWarning: As shared layers in the mlp_extractor are removed since SB3 v1.8.0, you should now pass directly a dictionary and not a list (net_arch=dict(pi=..., vf=...) instead of net_arch=[dict(pi=..., vf=...)])
  warnings.warn(
C:\Users\Gabriel\AppData\Roaming\Python\Python313\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Encontradas 94583 imagens no pool
Using cuda device
---------------------------------
| custom/            |          |
|    images_selected | 298      |
|    mean_confidence | 0.598    |
|    mean_entropy    | 0.759    |
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | 84.1     |
| time/              |          |
|    fps             | 13       |
|    iterations      | 1        |
|    time_elapsed    | 151      |
|    total_timesteps | 2048     |
---------------------------------
---------------------------------------
| custom/                 |           |
|    images_selected      | 810       |
|    mean_confidence      | 0.597     |
|    mean_entropy         | 0.755     |
| rollout/                |           |
|    ep_len_mean          | 1.01e+03  |
|    ep_rew_mean          | 240       |
| time/                   |           |
|    fps                  | 13        |
|    iterations           | 2         |
|    time_elapsed         | 294       |
|    total_timesteps      | 4096      |
| train/                  |           |
|    approx_kl            | 23.663744 |
|    clip_fraction        | 0.999     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.00238  |
|    explained_variance   | 0.748     |
|    learning_rate        | 0.0003    |
|    loss                 | 1.23      |
|    n_updates            | 10        |
|    policy_gradient_loss | 0.236     |
|    value_loss           | 13.4      |
---------------------------------------
---------------------------------------
| custom/                 |           |
|    images_selected      | 370       |
|    mean_confidence      | 2.49      |
|    mean_entropy         | 3.13      |
| rollout/                |           |
|    ep_len_mean          | 335       |
|    ep_rew_mean          | 399       |
| time/                   |           |
|    fps                  | 14        |
|    iterations           | 3         |
|    time_elapsed         | 436       |
|    total_timesteps      | 6144      |
| train/                  |           |
|    approx_kl            | 0.0       |
|    clip_fraction        | 0.000684  |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.000841 |
|    explained_variance   | 0.892     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.605     |
|    n_updates            | 20        |
|    policy_gradient_loss | -0.000105 |
|    value_loss           | 5.58      |
---------------------------------------
------------------------------------------
| custom/                 |              |
|    images_selected      | 882          |
|    mean_confidence      | 1.39         |
|    mean_entropy         | 1.75         |
| rollout/                |              |
|    ep_len_mean          | 847          |
