Logging to logs-clustering\active_learning_20250628_034925
C:\Users\Gabriel\AppData\Roaming\Python\Python313\site-packages\stable_baselines3\common\on_policy_algorithm.py:150: UserWarning: You are trying to run PPO on the GPU, but it is primarily intended to run on the CPU when not using a CNN policy (you are using ActorCriticPolicy which should be a MlpPolicy). See https://github.com/DLR-RM/stable-baselines3/issues/1245 for more info. You can pass `device='cpu'` or `export CUDA_VISIBLE_DEVICES=` to force using the CPU.Note: The model will train, but the GPU utilization will be poor and the training might take longer than on CPU.
  warnings.warn(
Encontradas 93638 imagens no pool
Using cuda device
---------------------------------
| custom/            |          |
|    images_selected | 417      |
|    mean_confidence | 0.603    |
|    mean_entropy    | 0.749    |
| rollout/           |          |
|    ep_len_mean     | 500      |
|    ep_rew_mean     | 130      |
| time/              |          |
|    fps             | 14       |
|    iterations      | 1        |
|    time_elapsed    | 141      |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| custom/                 |             |
|    images_selected      | 784         |
|    mean_confidence      | 0.599       |
|    mean_entropy         | 0.753       |
| rollout/                |             |
|    ep_len_mean          | 1.01e+03    |
|    ep_rew_mean          | 242         |
| time/                   |             |
|    fps                  | 14          |
|    iterations           | 2           |
|    time_elapsed         | 287         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.031824816 |
|    clip_fraction        | 0.32        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.289      |
|    explained_variance   | 0.639       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.151       |
|    n_updates            | 10          |
|    policy_gradient_loss | 0.0241      |
|    value_loss           | 2.21        |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    images_selected      | 229         |
|    mean_confidence      | 3.85        |
|    mean_entropy         | 4.84        |
| rollout/                |             |
|    ep_len_mean          | 221         |
|    ep_rew_mean          | 358         |
| time/                   |             |
|    fps                  | 14          |
|    iterations           | 3           |
|    time_elapsed         | 424         |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.025889773 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.468      |
|    explained_variance   | 0.339       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.547       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0156     |
|    value_loss           | 1.12        |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    images_selected      | 718         |
|    mean_confidence      | 1.62        |
|    mean_entropy         | 2.06        |
| rollout/                |             |
|    ep_len_mean          | 733         |
|    ep_rew_mean          | 513         |
| time/                   |             |
|    fps                  | 14          |
|    iterations           | 4           |
|    time_elapsed         | 561         |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.035055008 |
|    clip_fraction        | 0.0689      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.369      |
|    explained_variance   | 0.198       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.826       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0036     |
|    value_loss           | 2.26        |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    images_selected      | 154          |
|    mean_confidence      | 9.88         |
|    mean_entropy         | 12.5         |
| rollout/                |              |
|    ep_len_mean          | 148          |
|    ep_rew_mean          | 636          |
| time/                   |              |
|    fps                  | 14           |
|    iterations           | 5            |
|    time_elapsed         | 702          |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0027295195 |
|    clip_fraction        | 0.0265       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.15        |
|    explained_variance   | -0.327       |
|    learning_rate        | 0.0001       |
|    loss                 | 0.697        |
|    n_updates            | 40           |
|    policy_gradient_loss | 0.00157      |
|    value_loss           | 1.9          |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    images_selected      | 661         |
|    mean_confidence      | 2.75        |
|    mean_entropy         | 3.48        |
| rollout/                |             |
|    ep_len_mean          | 660         |
|    ep_rew_mean          | 793         |
| time/                   |             |
|    fps                  | 14          |
|    iterations           | 6           |
|    time_elapsed         | 839         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.022497725 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.37       |
|    explained_variance   | 0.529       |
|    learning_rate        | 0.0001      |
|    loss                 | 0.858       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00667    |
|    value_loss           | 2.42        |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    images_selected      | 142          |
|    mean_confidence      | 15.1         |
|    mean_entropy         | 19           |
| rollout/                |              |
|    ep_len_mean          | 138          |
|    ep_rew_mean          | 926          |
| time/                   |              |
|    fps                  | 14           |
|    iterations           | 7            |
|    time_elapsed         | 974          |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0055826535 |
|    clip_fraction        | 0.00371      |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.0464      |
|    explained_variance   | -0.552       |
|    learning_rate        | 0.0001       |
|    loss                 | 3.49         |
|    n_updates            | 60           |
|    policy_gradient_loss | 0.00243      |
|    value_loss           | 2.72         |
------------------------------------------
----------------------------------------
| custom/                 |            |
|    images_selected      | 654        |
|    mean_confidence      | 3.73       |
|    mean_entropy         | 4.72       |
| rollout/                |            |
|    ep_len_mean          | 650        |
|    ep_rew_mean          | 1.09e+03   |
| time/                   |            |
|    fps                  | 14         |
|    iterations           | 8          |
|    time_elapsed         | 1110       |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.03945085 |
|    clip_fraction        | 0.0782     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.308     |
|    explained_variance   | 0.91       |
|    learning_rate        | 0.0001     |
|    loss                 | 1.19       |
|    n_updates            | 70         |
|    policy_gradient_loss | -0.00273   |
|    value_loss           | 2.52       |
----------------------------------------
-------------------------------------------
| custom/                 |               |
|    images_selected      | 178           |
|    mean_confidence      | 15.4          |
|    mean_entropy         | 19.5          |
| rollout/                |               |
|    ep_len_mean          | 165           |
|    ep_rew_mean          | 1.23e+03      |
| time/                   |               |
|    fps                  | 14            |
|    iterations           | 9             |
|    time_elapsed         | 1244          |
|    total_timesteps      | 18432         |
| train/                  |               |
|    approx_kl            | 0.00026772503 |
|    clip_fraction        | 0.00112       |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.00293      |
|    explained_variance   | -0.169        |
|    learning_rate        | 0.0001        |
|    loss                 | 2.75          |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.000227     |
|    value_loss           | 3.51          |
-------------------------------------------
