rollout/ep_len_mean,time/fps,time/iterations,custom/images_selected,custom/mean_entropy,time/total_timesteps,time/time_elapsed,custom/mean_confidence,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl,train/loss,eval/mean_ep_length,eval/mean_reward
500.0,14,1,412,0.7355447919981088,2048,139,0.6146099391044118,122.03270823699053,,,,,,,,,,,,
1012.0,14,2,912,0.7387908909149701,4096,285,0.6144245474715717,273.6927656663523,0.044285451960604405,-0.000450586540543255,0.2,0.0003,0.954345703125,9.001895606005565,10,0.040607452392578125,3.8646722,0.5101296901702881,,
442.5,14,3,461,2.462536551139101,6144,429,2.0374084408526305,420.8709227928508,0.0114932457501709,-0.04518557122931083,0.2,0.0003,0.033154296875,2.609706853190437,20,0.1748957633972168,0.0066894484,0.44317084550857544,,
954.5,14,4,944,1.5528040174681996,8192,570,1.2879037559338733,567.5705632856376,0.0025318828076706266,-0.0734205704314627,0.2,0.0003,0.0173828125,5.228977087000385,30,0.5269843339920044,0.0018929539,1.360334873199463,,
484.25,14,5,510,3.7079580865727335,10240,710,3.067080468406864,724.4208938758316,0.0032603650375676806,-0.12906857528419097,0.2,0.0003,0.02822265625,2.1829116822977084,40,0.511851966381073,0.0028139055,0.4458717405796051,,
186.37,14,6,29,78.5281319763383,12288,849,64.5203628940829,853.9150828572517,-0.00022348905185936018,-0.021181448088684718,0.2,0.0003,0.0,8.798230685736053,50,0.7594882249832153,1.1170181e-05,3.559056043624878,,
521.5,14,7,541,4.91332455553018,14336,988,4.0322880217196095,1029.5492947172816,0.002341960882040439,-0.1401731993132671,0.2,0.0003,0.036572265625,3.808381563657895,60,0.8298389911651611,0.0026593814,1.2049551010131836,,
32.5,14,8,43,70.8132210085385,16384,1126,57.862988440796386,1168.8954771560261,-4.474155139178037e-06,-0.0003147915002344348,0.2,0.0003,0.0,9.341382858890574,70,-0.043826937675476074,6.9849193e-09,1.4369183778762817,,
544.5,14,9,555,6.171755192375129,18432,1264,5.029550847438005,1324.4271205783755,0.0017867370625026524,-0.21608564557973295,0.2,0.0003,0.02421875,3.835293329227716,80,0.9296258687973022,0.0009045248,1.6085307598114014,,
,,,926,3.9371059875557273,20000,,3.1923995039112723,,7.805647328495979e-09,-0.00013503000073313842,0.2,0.0003,0.0,4.0531911495607345,90,0.4979228377342224,2.1827873e-09,0.8286541700363159,946.0,293.001953125
108.0,10,10,119,43.62814474512513,20480,1880,35.14202290798227,2058.7851716181153,,,,,,,,,,,,
620.0,11,11,631,8.886542022010147,22528,2015,7.164080838330939,2213.263195090579,-0.0024846378466463646,-0.09597074778612295,0.2,0.0003,0.0373046875,8.9880909698084,100,0.6703765392303467,0.005318126,0.8385254144668579,,
132.75,11,12,139,43.21540431407609,24576,2151,34.82171446149298,2355.8506823929674,0.0001337287380010821,-0.0030621954175444445,0.2,0.0003,0.0,6.230715594312642,110,0.7276124954223633,1.967419e-08,0.24891452491283417,,
644.75,11,13,651,9.798895297906778,26624,2284,7.896372564239986,2510.8514752147253,-0.0035299340350320564,-0.1489403753035731,0.2,0.0003,0.060205078125,4.330982021801174,120,0.9445038437843323,0.04498447,3.0788004398345947,,
181.5,11,14,194,34.855516181529026,28672,2420,28.05736908961817,2659.576298373556,-1.557054929435253e-10,-2.3690109274841851e-07,0.2,0.0003,0.0,10.44174045806285,130,0.7894680500030518,0.0,3.6652700901031494,,
693.5,12,15,706,10.10192270383302,30720,2555,8.142853415932601,2813.9535842297996,-0.0010361067099438515,-0.0829977318587396,0.2,0.0003,0.015966796875,4.923856552341022,140,0.9740697741508484,0.004834502,0.8622333407402039,,
250.75,12,16,262,28.713153103366494,32768,2691,23.089051939490187,2971.5671708587556,1.3773387763649226e-09,-2.0249237743853966e-09,0.2,0.0003,0.0,4.0658141570573205,150,0.7816592454910278,0.0,0.4275275468826294,,
762.75,12,17,774,10.212824267457968,34816,2827,8.215162520530304,3128.979358331677,-0.00424627578468062,-0.09940131844971348,0.2,0.0003,0.033740234375,5.410357628454221,160,0.9856685996055603,0.017689813,18.33831214904785,,
238.0,12,18,266,31.14057746130441,36864,2961,25.06061390972227,3259.506531524571,-0.007523887883144198,-0.18712354357940625,0.2,0.0003,0.055908203125,4.063770491781179,170,0.14747542142868042,0.0058301548,0.2501370906829834,,
750.0,12,19,756,11.144028466391187,38912,3096,8.956890568290394,3415.3058511914264,-5.767030525021255e-05,-0.3161880862375256,0.2,0.0003,0.047509765625,4.6554759236401875,180,0.9862846732139587,0.0031699087,0.20204100012779236,,
,,,39,227.60778483891715,40000,,182.8758147733334,,0.002815371096949093,-0.038959894715708286,0.2,0.0003,0.026611328125,2.8864120563841427,190,0.8143326044082642,0.045152187,0.27721714973449707,946.0,292.8545227050781
228.0,11,20,240,43.661490689047305,40960,3707,35.015347832317154,4140.870390878,,,,,,,,,,,,
740.0,11,21,750,14.433527864936858,43008,3843,11.581789760473878,4296.460913551819,0.003291242561681429,-0.19262558551272377,0.2,0.0003,0.0263671875,6.033410567376995,200,0.9908673763275146,0.0009157735,1.2415070533752441,,
267.0,11,22,276,40.74309221421625,45056,3979,32.692643062791966,4440.545146876941,-0.0005249372901744209,-0.0017041950698050811,0.2,0.0003,0.00234375,1.9745400771906134,210,0.8921810984611511,0.0032651066,4.574126243591309,,
779.0,11,23,788,14.737126674110703,47104,4115,11.858195535422581,4591.655161815267,0.0003742096436326392,-0.12528251724376105,0.2,0.0003,0.0244140625,3.5912517378572373,220,0.9958076477050781,0.0200607,0.1850317418575287,,
328.75,11,24,339,35.38879525227401,49152,4251,28.475046034232,4745.704450149978,-1.9173676264472306e-06,-0.00016383003349662584,0.2,0.0003,0.0,2.100457638304215,230,0.901941180229187,0.0,0.06433966010808945,,
840.75,11,25,851,14.551643743568246,51200,4382,11.706958900922613,4902.933822344671,-0.0006829215781181119,-0.06950375101554158,0.2,0.0003,0.0078125,2.476995398523286,240,0.9956854581832886,0.007399517,2.2952511310577393,,
396.25,11,26,407,31.375536557094765,53248,4520,25.223826897744758,5057.692608730287,1.306463673245162e-07,-0.00010866249508762007,0.2,0.0003,0.0,1.3473118585883639,250,0.9662995338439941,5.2386895e-10,0.15476873517036438,,
908.25,11,27,919,14.308493899434838,55296,4654,11.516362818495104,5215.60721406987,-0.001194260515330825,-0.034401680864656094,0.2,0.0003,0.015771484375,3.709438396547921,260,0.9967252612113953,0.010536863,0.301868736743927,,
466.0,11,28,479,28.251812758068077,57344,4788,22.746031853811726,5370.942203806817,-4.235798405716195e-06,-0.000881721798231439,0.2,0.0003,0.0,1.095398892380763,270,0.9894132018089294,5.410402e-08,0.24889324605464935,,
27.0,12,29,38,366.1995344187476,59392,4930,294.8023180585158,5528.490764384883,-0.0002375830736127682,-0.024823833196569466,0.2,0.0003,0.00126953125,0.7687247031193692,280,0.9945806264877319,0.00023126538,0.3743925392627716,,
,,,189,74.19905668118643,60000,,59.72230021111549,,-0.009627983004611452,-0.13439161404259728,0.2,0.0003,0.101025390625,1.768201901658904,290,0.9951918721199036,0.03280155,10.587254524230957,946.0,292.66314697265625
348.0,11,30,360,43.687086029061014,61440,5541,35.13779718875885,6266.611762103443,,,,,,,,,,,,
860.0,11,31,849,18.474130857958023,63488,5678,14.859389203916722,6418.779347291229,1.4356824976857752e-06,-0.00020775818342997355,0.2,0.0003,0.0,4.015933331369888,300,0.06955522298812866,3.5215635e-09,0.6580132246017456,,
