time/total_timesteps,custom/mean_confidence,custom/images_selected,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,custom/mean_entropy,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,eval/mean_ep_length,eval/mean_reward
2048,0.6027140297810547,417,14,1,143,127.36620469890322,0.7502879947714973,500.0,,,,,,,,,,,,
4096,0.6043337290757336,755,14,2,288,232.4331584309571,0.7481935448740842,1012.0,0.01355080716239172,-0.33580083133056177,0.2,0.0001,0.23232421875,1.6203519105911255,0.6065747141838074,2.0487618719926104,0.026763719,10,,
6144,0.6052989993015481,166,14,3,432,47.74289984425948,0.7677914468602761,164.25,-0.014370177554519614,-0.5472124547697603,0.2,0.0001,0.258349609375,0.38947248458862305,0.41564124822616577,0.993525114422664,0.0191002,20,,
8192,0.6144015152012733,654,14,4,574,196.05633904332342,0.7436359069066178,676.25,-0.0029039355751592664,-0.44980654863175007,0.2,0.0001,0.093115234375,2.4969265460968018,0.328702449798584,2.3248055885429495,0.03451865,30,,
10240,0.6107549889613006,59,14,5,714,19.649921007635093,0.7688563261496819,63.5,0.004727049513167003,-0.2140069783257786,0.2,0.0001,0.029052734375,0.5062756538391113,-0.3640230894088745,1.581818180938717,0.001482679,40,,
12288,0.6059695902409361,567,14,6,854,177.04694213250332,0.7464170795971374,575.5,-0.010606309799914015,-0.42205673528369514,0.2,0.0001,0.149169921875,0.3885650932788849,0.28165310621261597,1.8860680675599724,0.025038186,50,,
14336,0.600589815308066,17,14,7,993,36.29065143567605,0.7316167214337517,128.53,0.0015033023148134817,-0.03603300397262501,0.2,0.0001,0.00263671875,0.8003519773483276,-0.5664910078048706,2.6855600969400255,0.001953252,60,,
16384,0.6036925713596812,529,14,8,1131,172.72038527057765,0.7554609622306319,555.25,-0.0028496021062892397,-0.3592295505455695,0.2,0.0001,0.06806640625,0.3641759157180786,0.7387187480926514,2.534579164965544,0.0102524515,70,,
18432,0.6339974089672691,19,14,9,1269,28.336586757162667,0.7640913552359531,97.82,-0.00019509866906446404,-0.008766018556434574,0.2,0.0001,0.00107421875,1.099124550819397,-1.725459098815918,3.6886708213365638,0.00015243812,80,,
20000,0.6110781091742399,410,,,,,0.746468884007233,,-0.00404676080434001,-0.2545000332407653,0.2,0.0001,0.07763671875,1.168755292892456,0.8963806629180908,2.480945341277402,0.012839293,90,986.2,288.21258544921875
20480,0.6092310513059298,120,10,10,1910,45.241118753226765,0.7642222461601098,153.25,,,,,,,,,,,,
22528,0.5977882801826242,632,11,11,2046,203.6940456141093,0.7567053889690698,665.25,1.280135620618239e-06,-0.0003132168681020175,0.2,0.0001,0.0,4.465571880340576,-0.701662540435791,4.466549595468678,4.3655746e-10,100,,
24576,0.6199066218752298,161,11,12,2181,55.31228813355451,0.7125171698305918,187.75,-0.0004292322730179876,-0.004835458661415259,0.2,0.0001,0.001806640625,0.6112772226333618,0.7508475184440613,2.8148973228759133,0.0024718465,110,,
26624,0.6071729816795282,673,11,13,2314,214.35815061068973,0.741875620013626,699.75,-0.0016438899969216437,-0.15777541695279068,0.2,0.0001,0.02158203125,0.1340305209159851,0.9684216976165771,3.061870658933185,0.003147415,120,,
28672,0.6419437739336602,107,11,14,2449,38.362880960306946,0.7293773187655155,126.75,0.000937650560081238,-0.11051502324685317,0.2,0.0001,0.025927734375,0.772338330745697,0.25181037187576294,2.9258489231811837,0.002893208,130,,
30720,0.6004148178609007,617,11,15,2583,196.43473177608618,0.7551182198890384,638.75,-0.010018524877523305,-0.3959291391307488,0.2,0.0001,0.1130859375,1.3205064535140991,0.9804746508598328,2.45647356758127,0.025312882,140,,
32768,0.6000167134930106,85,12,16,2717,33.79673865039227,0.7546683316721635,112.75,0.0014676407634397037,-0.06745253960725676,0.2,0.0001,0.002197265625,0.5135430693626404,-0.1977999210357666,2.846982367511373,0.002856832,150,,
34816,0.6057606332965033,597,12,17,2852,191.0384818340551,0.7392661245024983,624.75,-0.006176646260428242,-0.3094912120082881,0.2,0.0001,0.066357421875,0.45353612303733826,0.9774957299232483,2.17914774287492,0.014507294,160,,
36864,0.6059922053608843,93,12,18,2986,37.84918578993199,0.7206542664958585,125.5,-0.0003679752662719693,-0.009316203496200614,0.2,0.0001,0.001611328125,0.7854325771331787,-0.604191780090332,2.296844036714174,7.2535826e-05,170,,
38912,0.6094899652910627,605,12,19,3118,192.440023011683,0.7321666321293874,637.5,-0.003114636120517389,-0.23033977660234087,0.2,0.0001,0.03935546875,0.9511212110519409,0.9780026078224182,1.9878842314472422,0.0019779284,180,,
40000,0.6045721947602486,861,,,,,0.7436435173508035,,0.00010550386141403579,-0.011680569211921465,0.2,0.0001,0.000634765625,0.302655428647995,0.28762155771255493,2.466112382832216,7.8722165e-05,190,1026.6,286.6290588378906
40960,0.6115556976447503,240,10,20,3742,61.37779530650103,0.7476194319936137,200.75,,,,,,,,,,,,
43008,0.615400376828744,750,11,21,3874,214.78686015823791,0.7410493030292081,712.75,0.0007184412432252429,-0.1584783325510216,0.2,0.0001,0.028662109375,5.571765422821045,0.9453913569450378,3.9269509882549753,0.0027408954,200,,
45056,0.5956468528071885,259,11,22,4006,65.53904893484433,0.7324118445623795,217.25,-8.867125143297017e-05,-0.017571419111936847,0.2,0.0001,0.0013671875,0.17520955204963684,0.7427712678909302,1.9078470467822626,4.8303016e-05,210,,
47104,0.601998553820312,766,11,23,4138,221.94116404141568,0.7418538056768177,729.25,-0.0016765589287388138,-0.22942075015453156,0.2,0.0001,0.01337890625,1.6014931201934814,0.994074285030365,2.7653866997279692,0.0022361213,220,,
49152,0.5975546897881674,293,11,24,4270,79.038115774474,0.7696666731769315,252.75,0.0006308107782388106,-0.011228147084273133,0.2,0.0001,0.003515625,0.36597058176994324,0.7559900283813477,2.136173333405168,0.002281524,230,,
51200,0.6056770999609313,805,11,25,4402,238.84643141082626,0.7633019799771517,764.75,0.0006413188646547496,-0.15808955881002476,0.2,0.0001,0.009912109375,0.08531493693590164,0.9948148727416992,2.8489773484121543,0.00057974237,240,,
53248,0.618842193358381,355,11,26,4535,91.8108145600513,0.7577187214099186,300.75,-0.0003012379540450638,-0.0038046197850292174,0.2,0.0001,0.00087890625,2.408719539642334,0.8314059376716614,1.5040289216733072,8.469049e-05,250,,
55296,0.609025809729113,865,11,27,4667,246.6881548629664,0.7524597335095499,812.75,-0.00041433267324464396,-0.12614777390207904,0.2,0.0001,0.00634765625,0.2728336751461029,0.9933456182479858,3.4113504411070608,2.9466697e-05,260,,
57344,0.6186455549584429,403,11,28,4800,106.98678248235701,0.7325328976729372,350.0,0.00015780979665578344,-0.012674704766993727,0.2,0.0001,0.000439453125,0.3119686543941498,0.8739314079284668,1.8313355943537317,3.7175312e-05,270,,
59392,0.608414834477211,903,12,29,4932,261.28153342783446,0.7410127593682764,862.0,0.00024726045739953406,-0.12055207974504953,0.2,0.0001,0.00283203125,0.16176912188529968,0.9901989102363586,2.027232810569694,0.0007433375,280,,
60000,0.6299206145193385,87,,,,,0.745218808623566,,0.0007848189867218025,-0.044929305755795214,0.2,0.0001,0.00576171875,0.5688685178756714,0.9599814414978027,1.1087723669945262,5.5809214e-06,290,990.4,285.6834411621094
61440,0.6159815668231912,360,11,30,5564,119.02559777842981,0.7527838545747929,390.0,,,,,,,,,,,,
63488,0.6065254347450143,867,11,31,5696,273.4605989930652,0.7520808370510509,902.0,6.16303164861165e-05,-0.1073032453566034,0.2,0.0001,0.003173828125,0.846834659576416,0.9604701399803162,4.594763592816889,0.0007807909,300,,
65536,0.5898204869227085,397,11,32,5829,128.72604638385664,0.7680553098769872,421.25,0.001600599754601717,-0.1077561954036355,0.2,0.0001,0.00810546875,0.13807855546474457,0.9767850041389465,0.9208742274844554,0.00060296414,310,,
67584,0.6065470660218049,898,11,33,5962,277.24796268368385,0.7417252306530315,933.25,-0.000809349856172048,-0.09561996444952899,0.2,0.0001,0.000732421875,0.335366815328598,0.9954430460929871,2.1073708860203624,0.0002819759,320,,
69632,0.5934982304656229,430,11,34,6095,139.27173034424754,0.7331497335849806,452.25,0.0009390462648298126,-0.19552916177999577,0.2,0.0001,0.031640625,1.1351954936981201,0.9886721968650818,1.0266783792001661,0.0131489,330,,
71680,0.6006163370710523,906,11,35,6228,229.34910346222708,0.7439009650212944,783.89,1.2733125186059623e-05,-0.0641159936804911,0.2,0.0001,0.0,3.1727757453918457,0.9952626824378967,7.137848280137405,1.3115496e-06,340,,
73728,0.593918688752333,427,11,36,6361,142.69978990429718,0.7524117971192479,457.25,-0.0012334772101894487,-0.19218070080096367,0.2,0.0001,0.027783203125,0.13606294989585876,0.9948313236236572,0.6773177172522992,0.004683896,350,,
