time/total_timesteps,rollout/ep_rew_mean,custom/mean_confidence,time/iterations,custom/mean_entropy,rollout/ep_len_mean,time/time_elapsed,time/fps,custom/images_selected,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/n_updates,train/value_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2048,125.1898753503285,0.5943526824121363,1,0.7454501928586978,500.0,143,14,417,,,,,,,,,,,,
4096,228.43603139011404,0.600111302890582,2,0.7499385873234132,1012.0,281,14,762,0.013563519332092256,0.28388671875,0.2,0.7859029173851013,0.09837121,0.7059286832809448,-0.30109573215559066,10,2.013563801359851,0.0001,,
6144,56.136968961031215,0.5943312993709077,3,0.7555454092773985,180.75,418,14,181,-0.01648752996334224,0.3466796875,0.2,0.37480852007865906,0.030253917,0.30215775966644287,-0.5060124561889097,20,1.2160179166006855,0.0001,,
8192,209.0979041621643,0.6009717559814454,4,0.7566475213851247,692.75,553,14,680,-0.003896905653527938,0.097412109375,0.2,1.8324271440505981,0.04556173,-0.6461719274520874,-0.4135649382718839,30,2.3086137398961,0.0001,,
10240,34.18523401430884,0.597795937512372,5,0.7733224412879428,115.75,700,14,111,0.0015457025132491254,0.025244140625,0.2,1.4701498746871948,0.001147322,-0.021758556365966797,-0.11273273854021681,40,1.88473034161143,0.0001,,
12288,185.32132783870412,0.6037814895567121,6,0.7414885996743725,627.75,846,14,622,-0.008700272096757545,0.18359375,0.2,0.6274299621582031,0.065968454,0.6942884922027588,-0.3303563558962196,50,2.141972802649252,0.0001,,
14336,42.930581085269665,0.5904739346769121,7,0.7421158757474687,143.0,989,14,135,0.0009652755870774854,0.000927734375,0.2,1.07405424118042,0.0054246783,-0.10970032215118408,-0.016133841502983158,60,2.9999104660004376,0.0001,,
16384,199.53013343881827,0.5965276857063612,8,0.7523665287671538,655.0,1133,14,647,-0.001973740616085706,0.034912109375,0.2,1.5360677242279053,0.0061675687,0.8861632347106934,-0.19364388415415307,70,2.694960738182999,0.0001,,
18432,51.04985060926648,0.6145371411527906,9,0.7231866554135368,174.75,1277,14,168,-5.7850942539516836e-05,0.000732421875,0.2,2.0226917266845703,3.8646278e-05,-0.7260619401931763,-0.0008027981592334754,80,3.309202276391443,0.0001,,
20000,,0.594829501054368,,0.73603264155776,,,,559,-0.0001729363611957524,0.014990234375,0.2,1.4543768167495728,0.0001937544,0.9494421482086182,-0.16912023328222858,90,2.5960294829506894,0.0001,946.0,286.8695373535156
20480,32.66089997540969,0.6346135444939136,10,0.7318141145010789,108.0,1920,10,120,,,,,,,,,,,,
22528,185.71478272236666,0.6115724199180361,11,0.7396798539623807,620.0,2060,10,632,-2.5840454327408224e-06,0.0,0.2,1.8530670404434204,0.0,-0.076224684715271,-0.0001845863202436959,100,4.55427910303697,0.0001,,
24576,45.23549096539397,0.6173415033146739,12,0.7474557855166495,146.25,2199,11,160,-9.670111467130482e-08,0.0,0.2,1.831281065940857,5.0349627e-09,0.3801789879798889,-0.000517276739194017,110,4.226565094501711,0.0001,,
26624,197.8165086932798,0.6129584253898689,13,0.7392164910921738,658.25,2337,11,672,0.0009477679370320403,0.0166015625,0.2,1.6039297580718994,0.0020673745,0.9713695645332336,-0.16159276488542673,120,3.1022074245498517,0.0001,,
28672,53.31351060002913,0.6074092515877315,14,0.7625261910107671,174.25,2474,11,196,-9.487546776654199e-07,0.0,0.2,0.22835397720336914,0.0,0.5738296508789062,-0.000826873046014498,130,3.9507837028359063,0.0001,,
30720,212.48149459979118,0.6034833874321927,15,0.7551595831321458,686.25,2614,11,708,-0.001835230109281838,0.020361328125,0.2,0.2320900708436966,0.0033458222,0.9802594184875488,-0.16141224467210122,140,2.618182273680577,0.0001,,
32768,69.36975398726848,0.5928122240208811,16,0.7588142850586483,221.75,2751,11,248,-1.8436112441122533e-07,0.0,0.2,4.660640239715576,0.0,0.5283665657043457,-0.00016842527717706446,150,3.457031329383608,0.0001,,
34816,223.88175878502653,0.6044179625024921,17,0.7613014624503098,733.75,2888,12,760,-0.0006336009253573138,0.018408203125,0.2,4.3709397315979,0.0022798583,0.9844345450401306,-0.11238262190964861,160,3.584624939528294,0.0001,,
36864,86.22778683666523,0.5809758031054547,18,0.7555874687570491,281.5,3025,12,304,3.887143975589424e-08,0.0,0.2,2.045746088027954,6.1118044e-10,0.5107088685035706,-0.00015445635439431115,170,2.684095324843656,0.0001,,
38912,242.1001384129472,0.6008107473379841,19,0.7507988199427286,793.5,3161,12,816,0.0003463745983026456,0.004541015625,0.2,0.3074145019054413,4.877191e-06,0.9889554977416992,-0.10709943194788138,180,3.127967374428408,0.0001,,
40000,,0.6057459775890622,,0.7397432454994747,,,,112,9.808500180952251e-08,0.0,0.2,0.3482932448387146,4.9185473e-09,0.8134928345680237,-0.0013583597602369935,190,1.7737190433137584,0.0001,946.0,284.24481201171875
40960,68.47130476940457,0.6065044122437636,20,0.7607671520983179,228.0,3771,10,240,,,,,,,,,,,,
43008,227.53482148877552,0.6082843731533973,21,0.7438157586024162,740.0,3906,11,752,0.0009619050535548013,0.00478515625,0.2,2.2327663898468018,2.3670887e-05,0.9928934574127197,-0.11308969761489415,200,3.6889145428605845,0.0001,,
45056,85.42117846649774,0.6121378289659818,22,0.7467309919496378,283.25,4040,11,300,3.9071892388165e-08,0.0,0.2,1.727033257484436,5.820766e-10,0.8077510595321655,-0.0001839265763506237,210,1.9005806311848574,0.0001,,
47104,236.2466575352248,0.6151489895112409,23,0.7466284191703855,795.25,4174,11,811,0.0006767284910893067,0.006201171875,0.2,0.5842288136482239,0.00070454046,0.9909502267837524,-0.12026387412965196,220,3.115425001317635,0.0001,,
49152,90.7816930664461,0.6096748708755977,24,0.7404705055357871,300.5,4311,11,323,0.000886782826273702,0.004248046875,0.2,0.48715341091156006,0.18566772,0.5321455597877502,-0.026169738745250016,230,2.4107039183785672,0.0001,,
51200,244.79580433504066,0.604186397541069,25,0.7393683777419393,812.5,4453,11,829,-0.0007155529929150362,0.015234375,0.2,1.456408977508545,0.0011083612,0.992428183555603,-0.20960158765374218,240,3.554231218685163,0.0001,,
53248,102.07823129498637,0.5948191592718828,26,0.7270408242861217,339.75,4590,11,374,0.0008272821163700428,0.00791015625,0.2,1.267627239227295,0.008859662,0.710822343826294,-0.027640531940323853,250,1.7074453302077017,0.0001,,
55296,257.97316932751124,0.6116747448460512,27,0.7409190490640044,851.75,4728,11,881,0.00017525799485156312,0.00126953125,0.2,0.7512946724891663,7.6408774e-05,0.9919513463973999,-0.13137002619682708,260,2.9589069446432403,0.0001,,
57344,118.1106357209503,0.6151499008069016,28,0.7357734185009496,390.0,4861,11,426,0.0007899172673205612,0.003759765625,0.2,0.8762542009353638,0.00015723697,0.9128789305686951,-0.02049961781780212,270,1.2812832153227647,0.0001,,
59392,270.71760133260216,0.6074908008453435,29,0.7381937194671204,902.0,4995,11,915,0.00012595562729984523,0.013720703125,0.2,1.2460134029388428,0.001980601,0.9930274486541748,-0.12339095761174992,280,2.895197906298563,0.0001,,
60000,,0.5959968864917755,,0.7677241133017974,,,,110,-0.0001402257890731562,0.011083984375,0.2,2.4392242431640625,0.00062641955,0.9835187792778015,-0.07935625579193584,290,1.4254784208373166,0.0001,946.0,291.20428466796875
61440,106.79703216801518,0.5999192030893432,30,0.7479512627340026,348.0,5609,10,360,,,,,,,,,,,,
63488,247.01849402130665,0.6017458100521237,31,0.7420389130540671,860.0,5745,11,821,0.0008384811866562813,0.005517578125,0.2,9.091303825378418,0.0018529897,0.9962721467018127,-0.0996195904492927,300,3.493722223531222,0.0001,,
65536,85.20738264571024,0.6148926693460216,32,0.7454520996697371,280.75,5884,11,295,-0.0034290485564270057,0.053125,0.2,0.6161040663719177,0.008893081,0.9238110780715942,-0.2523973267088877,310,1.0273168465355411,0.0001,,
