time/total_timesteps,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,custom/mean_entropy,rollout/ep_len_mean,custom/images_selected,custom/mean_confidence,train/explained_variance,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
2048,15,1,130,124.49013130076152,0.7368369149917271,500.0,417,0.6008375192177482,,,,,,,,,,,,
4096,15,2,264,225.11058895848342,0.7313710120215546,1012.0,756,0.6034367797838058,0.6086353659629822,0.047139157,10,0.016216663319210057,1.723856078943936,0.0001,0.2697265625,-0.3040444987134833,0.6516252160072327,0.2,,
6144,15,3,398,49.53862619396121,0.777733503795061,168.5,175,0.5944966190173978,0.3195372223854065,0.029210636,20,-0.014918932909495197,1.1269896161742508,0.0001,0.263525390625,-0.5375196314416826,1.6391459703445435,0.2,,
8192,15,4,532,199.90118035478463,0.7544207009480154,680.5,668,0.610914869445691,0.4041745066642761,0.031250402,30,-0.005195135783287697,2.268784994701855,0.0001,0.081201171875,-0.4383713746909052,1.4856624603271484,0.2,,
10240,15,5,666,30.6886229300915,0.7459899177676753,97.25,95,0.6459417653711219,-0.42432188987731934,0.0020167017,40,0.002256892339210026,1.8813013046514242,0.0001,0.023486328125,-0.15026814099110197,0.7812299132347107,0.2,,
12288,15,6,800,186.17871698620863,0.7534344275612415,609.25,603,0.6072790568703678,0.5113605260848999,0.020889726,50,-0.005870774749200791,2.456861537939403,0.0001,0.093017578125,-0.38529773105401544,0.7293936610221863,0.2,,
14336,15,7,933,29.10029504085056,0.7605509547851025,94.0,78,0.5770247563337668,-0.24590051174163818,0.0030183564,60,0.0011198244072147645,2.1262134751770647,0.0001,0.003369140625,-0.026463705159585516,0.2572369873523712,0.2,,
16384,15,8,1067,185.80195328405784,0.744960322319451,606.0,590,0.6026181968086857,0.7886431217193604,0.022816721,70,-0.005454271929920651,3.183063220477197,0.0001,0.07998046875,-0.2686427580192685,1.124499797821045,0.2,,
18432,15,9,1201,37.45378169724742,0.7608076778420231,120.25,114,0.5930473851530176,-0.9352716207504272,0.0007555009,80,-0.00040326286107301713,3.437190392916091,0.0001,0.001220703125,-0.001690332967723407,1.5024135112762451,0.2,,
20000,,,,,0.7357028128191976,,505,0.6141288878303943,0.9339362382888794,0.007684882,90,-0.0021511546350666323,2.4527663251094056,0.0001,0.02626953125,-0.17906361422210465,0.19059473276138306,0.2,287.6770935058594,946.0
20480,11,10,1804,33.30966946376901,0.7466535615424316,108.0,120,0.6150951102375984,,,,,,,,,,,,
22528,11,11,1937,190.88723183255573,0.7482712808996439,620.0,632,0.607405955702821,-0.6849594116210938,0.0,100,6.227019184734673e-08,4.603159298049286,0.0001,0.0,-8.245408253776398e-06,5.9609761238098145,0.2,,
24576,11,12,2071,49.09231683059748,0.744922798126936,155.5,168,0.6067106228853975,0.3248676061630249,6.4028427e-10,110,1.1503288988023996e-09,4.1395295116701165,0.0001,0.0,-0.0001107078600581346,5.049851894378662,0.2,,
26624,12,13,2204,204.98283756721173,0.7422524750670966,667.5,680,0.615057629828944,0.9563965797424316,0.0013236983,120,0.00015787832526257262,2.7065778711112216,0.0001,0.012939453125,-0.13053787436256242,0.36653774976730347,0.2,,
28672,12,14,2338,59.204709342875056,0.7362214318261697,194.0,208,0.5882082339376211,0.5787302255630493,0.0,130,-2.1281084627844393e-07,3.078302807942964,0.0001,0.0,-0.0002263986618398661,1.6492186784744263,0.2,,
30720,12,15,2471,211.84475415928915,0.7354656464523739,706.0,720,0.6031097838862075,0.9721682667732239,0.00013667211,140,-0.000951100698148366,3.499344509281218,0.0001,0.01396484375,-0.13790865284972825,0.853201687335968,0.2,,
32768,12,16,2602,75.16345798546733,0.7438064859463618,246.5,260,0.5932367331706561,0.43898242712020874,1.2805685e-09,150,-1.78723203134723e-06,2.4705596392508595,0.0001,0.0,-0.0004002094047731219,0.7524964213371277,0.2,,
34816,12,17,2733,234.7551991483715,0.7549164592447676,758.5,772,0.5951413739993783,0.984700083732605,0.0008865206,160,-6.5238348179264e-05,2.8165916026453486,0.0001,0.00458984375,-0.1142738101757459,1.6742807626724243,0.2,,
36864,12,18,2864,96.08423597923124,0.7618788198717761,303.5,317,0.5841880022351298,-0.6129913330078125,8.643838e-09,170,-5.387103010434658e-06,3.0275480985699685,0.0001,0.0,-0.00047337578209474265,0.19045308232307434,0.2,,
38912,12,19,2995,245.04251859818683,0.7422824188419792,815.5,816,0.5993145676947618,0.9706686735153198,0.013372013,180,-0.0021871744247619063,2.8214743972872385,0.0001,0.0919921875,-0.19579799633356743,0.8798946738243103,0.2,,
40000,,,,,0.7394668601142863,,96,0.6061758147552609,-0.40433168411254883,0.001113944,190,0.0008688531121151755,2.0896292423596607,0.0001,0.0119140625,-0.04502864218502509,0.695746660232544,0.2,289.70989990234375,946.0
40960,11,20,3586,70.12820010105757,0.7450391178329786,228.0,240,0.6279233107964198,,,,,,,,,,,,
43008,11,21,3717,226.45270457779677,0.7460632193040975,740.0,752,0.6116818290679379,0.9895531535148621,0.00066540565,200,-0.0006999260862357914,3.374523391039111,0.0001,0.0033203125,-0.1528957038979954,0.6877404451370239,0.2,,
45056,11,22,3847,78.77639670305501,0.7552758998952914,259.75,276,0.60665068289508,0.28741204738616943,0.0004668353,210,-0.0001191072748042643,1.7192950969794765,0.0001,0.000439453125,-0.003930970810500867,0.27967771887779236,0.2,,
47104,11,23,3994,233.08981130416066,0.7516207379397705,771.75,778,0.6027007235715232,0.9834469556808472,0.012783924,220,0.0015345836836786475,2.7040643907675985,0.0001,0.01103515625,-0.19423002739276854,1.0840981006622314,0.2,,
49152,11,24,4130,84.23250908639217,0.731673409097961,267.5,280,0.6003528792943273,0.6652092933654785,0.012906487,230,0.0006106083659688011,1.7735744694422464,0.0001,0.023974609375,-0.02279468419001205,0.6891055703163147,0.2,,
51200,11,25,4269,237.51797046810475,0.7509040258956527,779.5,786,0.6001163049779757,0.995668351650238,0.0003123261,240,0.0012760061828885228,2.163708321843296,0.0001,0.013623046875,-0.24290434978320263,4.644201755523682,0.2,,
53248,12,26,4405,84.21421741260846,0.7513801036402583,278.25,304,0.6080517232614128,0.8668460249900818,0.00041519795,250,-0.0005952818130026572,1.7380382904841098,0.0001,0.00673828125,-0.04240165739392978,2.8922038078308105,0.2,,
55296,12,27,4538,235.07540902858074,0.748937143469412,790.25,811,0.612570595726663,0.9972981810569763,0.006092728,260,-0.0049227689843974074,2.729810490628006,0.0001,0.039599609375,-0.2163847889751196,0.598471462726593,0.2,,
57344,12,28,4670,93.02156207186968,0.7349192336113495,311.5,338,0.602958042857915,0.9373936057090759,0.004493342,270,-0.0011652607579890172,1.345646396855591,0.0001,0.006787109375,-0.02395109323933866,0.16235943138599396,0.2,,
59392,12,29,4802,251.10145702203158,0.7476073918623083,823.5,849,0.5960031539902968,0.9959360957145691,0.0008093847,280,-0.0005400175643444527,1.8272867725929245,0.0001,0.004248046875,-0.1577663066527748,0.3305577337741852,0.2,,
60000,,,,,0.7160594155048502,,29,0.6668867211917351,0.9469153881072998,4.5512104e-05,290,-8.192274181055837e-05,1.1164950237958693,0.0001,0.002099609375,-0.010154392717984706,0.13775426149368286,0.2,288.07000732421875,946.0
61440,11,30,5398,105.41515042718618,0.7569963306188583,348.0,360,0.5974330700933933,,,,,,,,,,,,
63488,11,31,5529,260.4118526218142,0.7522732212524349,860.0,869,0.5898618476995088,0.9449585676193237,0.00024038245,300,0.0002653324390848866,8.058845211879817,0.0001,0.004345703125,-0.12412753448931205,0.3067391812801361,0.2,,
65536,11,32,5661,119.78802419042346,0.7426698010972732,400.75,414,0.5913664194696767,0.9765328764915466,0.003992703,310,0.0002537060652684886,1.1619804290006868,0.0001,0.005078125,-0.024410137307162925,0.273036390542984,0.2,,
67584,11,33,5792,271.9747757883362,0.7393285670754204,912.75,918,0.5982636120291045,0.9963735938072205,0.00032118833,320,-0.0009384544326167088,1.5909452849067747,0.0001,0.00361328125,-0.08849348522006714,1.23202645778656,0.2,,
69632,11,34,5924,136.64235585033305,0.7427067316420013,455.0,471,0.6032326816247021,0.9913607239723206,0.00027510777,330,0.00015705148907727562,1.0232723926368634,0.0001,0.00595703125,-0.03999980941347303,0.24489064514636993,0.2,,
71680,11,35,6055,81.27090526801697,0.7487046188778348,275.7,27,0.6473720945693828,0.9943569898605347,0.0011629085,340,-5.2930920355720444e-05,3.0115835454547777,0.0001,0.004248046875,-0.05353612348833381,0.17358145117759705,0.2,,
73728,11,36,6186,157.22873179961968,0.7446007552057339,518.5,539,0.6051530148522973,0.9955484867095947,0.0002944094,350,0.0002008219533308875,0.9448390065925196,0.0001,0.00166015625,-0.05905028886224386,0.12786747515201569,0.2,,
75776,11,37,6318,22.157209176435607,0.7323193198410414,70.75,93,0.5999960367397595,0.894075334072113,0.0,360,-2.673914423212409e-10,1.5225319839897566,0.0001,0.0,-2.7246066167726065e-14,1.3854053020477295,0.2,,
77824,12,38,6449,178.35095719710583,0.7509054696510646,582.75,605,0.6032467612550279,0.9960719347000122,0.00073737703,370,-0.0007988186058355496,1.143249496500357,0.0001,0.00380859375,-0.05172417326268395,0.2530553340911865,0.2,,
79872,12,39,6580,41.45432402162584,0.7181922683492303,138.5,160,0.6082986626774073,0.8509587645530701,0.0,380,1.624721335247159e-09,1.1606260030181148,0.0001,0.0,-5.305238270902889e-15,0.39245104789733887,0.2,,
