time/iterations,rollout/ep_rew_mean,custom/images_selected,time/total_timesteps,custom/mean_entropy,rollout/ep_len_mean,time/time_elapsed,custom/mean_confidence,time/fps,train/value_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/clip_range,eval/mean_ep_length,eval/mean_reward
1,122.47778558364213,417,2048,0.7369827156071551,500.0,140,0.6134054531576112,14,,,,,,,,,,,,
2,267.72927985788397,900,4096,0.7408313539926894,1012.0,284,0.6080614534730557,14,1.8905344546074048,-0.04091977880857485,0.629443359375,1.4067,0.301400363445282,10,0.04100287870896864,0.0001,0.6374636888504028,0.2,,
3,124.7559605683938,428,6144,0.741854878342667,415.5,428,0.6042366444925281,14,2.34969017165713,-0.19737851203826723,0.036669921875,0.003948502,1.7336435317993164,20,0.005711726153094787,0.0001,-0.028004884719848633,0.2,,
4,259.13806028368305,866,8192,0.7417030451977824,927.5,570,0.6068618743977648,14,1.6723044680198655,-0.11417638939454236,0.0001953125,0.0004559037,0.29259729385375977,30,4.422845086082816e-05,0.0001,-0.27096545696258545,0.2,,
5,109.10775512934497,382,10240,0.7416745663586399,363.25,711,0.595881406003268,14,1.0640816019964405,-0.2736219252925366,0.09541015625,0.030895501,0.27433061599731445,40,-0.006677519025834045,0.0001,0.5084906220436096,0.2,,
6,256.30437998463594,862,12288,0.7391414175964308,875.25,851,0.5988509216964645,14,2.355798470065929,-0.17475231727035237,0.0171875,0.001084882,1.0047165155410767,50,-0.0013774983104667625,0.0001,0.9260848164558411,0.2,,
7,109.86384549827068,383,14336,0.7335701588706621,371.75,994,0.6175689140903732,14,1.887927106069401,-0.13000028370806832,0.03583984375,0.01760358,0.34076201915740967,60,0.003653032733564032,0.0001,0.7927138209342957,0.2,,
8,259.74121563134236,879,16384,0.7318429289416893,883.75,1133,0.614425409939036,14,3.319107176724356,-0.15208669387618948,0.0017578125,0.0005466844,0.745187520980835,70,-0.0002076878496154677,0.0001,0.9524226188659668,0.2,,
9,118.7574561922768,398,18432,0.7399268279497947,390.25,1274,0.6044965776516564,14,1.9757874183589592,-0.0979660239914665,0.014111328125,0.002172459,0.25656378269195557,80,0.0007977119705174119,0.0001,0.7920821309089661,0.2,,
,,789,20000,0.7516950191729271,,,0.6075351509833367,,2.7077744148962664,-0.1284596991999293,0.010009765625,0.0002987238,1.1962577104568481,90,-0.001684889665193623,0.0001,0.9668982028961182,0.2,946.0,284.42755126953125
10,33.08460690313305,120,20480,0.7541608144839604,108.0,1920,0.612330469985803,10,,,,,,,,,,,,
11,188.8345789164849,632,22528,0.7409400888541832,620.0,2062,0.615839437546232,10,3.7294845797121523,-0.003886956166928712,0.000439453125,0.0006017483,0.6529727578163147,100,-0.0013540459141950123,0.0001,0.5902146697044373,0.2,,
12,50.71682518664066,171,24576,0.7339152008817907,162.0,2203,0.5982946422364976,11,3.59570583505556,-9.427350877494467e-06,0.0,0.0,0.5555664300918579,110,4.401590558700264e-09,0.0001,0.31432443857192993,0.2,,
13,208.83615701239526,683,26624,0.7523228974022942,674.0,2342,0.6100369356736257,11,2.640724620653782,-0.12932929995749873,0.00732421875,5.1169744e-05,0.364030659198761,120,0.00126604956749361,0.0001,0.9194768071174622,0.2,,
14,63.002189623464034,214,28672,0.7674613471064612,202.25,2482,0.5812625372521231,11,2.8755682753399014,-0.00013723164591930014,0.0,3.754394e-09,2.2975974082946777,130,-1.4713965356349946e-06,0.0001,-0.5252273082733154,0.2,,
15,216.66494324979166,726,30720,0.7457044391428472,714.25,2620,0.5982214185324582,11,3.147471256868448,-0.15135363261833845,0.00947265625,0.000121369434,2.0130772590637207,140,0.0013729699516261463,0.0001,0.9535830020904541,0.2,,
16,80.17072573406057,261,32768,0.7547222182325933,253.25,2758,0.5901783676211405,11,2.6516342182061634,-0.0003026191040418347,0.0,0.0,1.7116647958755493,150,-8.430652087554336e-09,0.0001,0.03141540288925171,0.2,,
17,237.975150513861,773,34816,0.7469070879754551,765.25,2895,0.6044756859193953,12,3.5662690956145524,-0.1263491629873897,0.00625,0.0013871934,1.3403866291046143,160,0.0007593212118081283,0.0001,0.9707038402557373,0.2,,
18,93.28145477891945,317,36864,0.7440950559328783,307.75,3033,0.6006024730882434,12,3.2701286445255393,-0.0011812527537264472,0.0,5.7043508e-09,0.23747366666793823,170,5.4675911087542775e-08,0.0001,0.35914456844329834,0.2,,
19,249.22675377938063,829,38912,0.7509360741936254,819.75,3173,0.60056359744187,12,2.1935065992176535,-0.10600445082909678,0.007861328125,0.00021623426,3.6943442821502686,180,0.0004355858538474422,0.0001,0.9896817207336426,0.2,,
,,130,40000,0.7217864543199539,,,0.6087963379346407,,1.824635847506579,-0.007691422405098081,0.00068359375,1.386166e-05,0.8197150230407715,190,0.0002973220201965887,0.0001,0.3702285885810852,0.2,946.0,288.5914001464844
20,69.15585777308053,240,40960,0.7612631246447563,228.0,3802,0.6159554795672496,10,,,,,,,,,,,,
