custom/images_selected,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,custom/mean_entropy,time/time_elapsed,time/iterations,custom/mean_confidence,train/policy_gradient_loss,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/value_loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
417,500.0,14,125.63517636318464,2048,0.7484789234440541,139,1,0.6044259266927838,,,,,,,,,,,,
747,1012.0,14,225.18566110159674,4096,0.7419288018791121,281,2,0.6014977108861785,0.026265468881319975,0.9059786796569824,0.0708652,-0.17462281428688584,0.6806575655937195,0.0001,0.2,2.197372179699596,0.468310546875,10,,
159,147.25,14,42.66697168998101,6144,0.7328006473534248,422,3,0.6011643493876738,-0.014524669232923771,0.20990514755249023,0.029104127,-0.5645515792071819,0.2913973331451416,0.0001,0.2,1.054142883536406,0.340087890625,20,,
643,659.25,14,188.73813486188436,8192,0.7461387840184298,561,4,0.6041582430824856,-0.004552740391227416,1.0492733716964722,0.054248784,-0.4651090405881405,0.1329982876777649,0.0001,0.2,2.377133008558303,0.098876953125,30,,
24,422.75,14,104.49086629785369,10240,0.7356801082690557,700,5,0.5776389837265015,0.0003500364313367754,2.1575326919555664,0.01762133,-0.1618226687423885,-0.34084653854370117,0.0001,0.2,1.620545574335847,0.03974609375,40,,
533,526.25,14,158.82861707137965,12288,0.7474479708931784,838,6,0.5900485213679164,-0.019269241311121732,1.5972168445587158,0.03613059,-0.48552899875212463,0.4181007146835327,0.0001,0.2,2.3834226319449954,0.270263671875,50,,
1,771.53,14,217.67001123261204,14336,0.9119254946708679,975,7,0.6140433549880981,0.0009238046735845273,0.8540970683097839,2.5966874e-05,-0.02741370112817094,0.278103768825531,0.0001,0.2,2.3859244937542825,0.001904296875,60,,
513,513.0,14,155.4290923397894,16384,0.7479762251962695,1111,8,0.6007831424300434,-0.0038953006922383794,1.297168493270874,0.011404282,-0.31491888933232987,0.8193642497062683,0.0001,0.2,1.9519343398860656,0.069677734375,70,,
903,1025.0,14,270.2166255385272,18432,0.7364930562057146,1246,9,0.6001399911031491,0.0010819347178767202,0.503844678401947,0.021825261,-0.043782457537963636,0.5220435261726379,0.0001,0.2,2.902171242702752,0.0021484375,80,,
319,,,,20000,0.7438808116466274,,,0.5940752631070846,-0.0145511334965704,0.4150499105453491,0.027559482,-0.4225455623702146,0.780359148979187,0.0001,0.2,1.1971748036914505,0.159130859375,90,286.82257080078125,946.0
120,108.0,11,33.5229516134263,20480,0.7392688183734815,1853,10,0.6065524789194267,,,,,,,,,,,,
624,620.0,11,189.3952060835878,22528,0.7493535185268125,1987,11,0.5950832789457297,-0.0008049079966440331,4.937303066253662,0.00033119717,-0.10251940658818057,0.9701356291770935,0.0001,0.2,4.007590840326157,0.000390625,100,,
133,125.75,11,36.865139431305344,24576,0.738283092590203,2119,12,0.595758930408865,1.4336466847453266e-06,1.9782928228378296,0.018533185,-0.03158158295259454,0.8758327960968018,0.0001,0.2,2.133787374349777,0.00751953125,110,,
645,637.75,11,189.87200755113892,26624,0.7412830747375193,2251,13,0.6121998476427655,-0.0009793721765163355,0.20782598853111267,0.002999308,-0.20211269651190378,0.964015543460846,0.0001,0.2,1.8726602170267141,0.043115234375,120,,
162,145.0,12,44.635576707192484,28672,0.7336071071065502,2382,14,0.5929593749252366,-1.1207222996745259e-05,0.7142662405967712,1.2863893e-08,-0.0027255107472910823,0.7362818717956543,0.0001,0.2,3.061130029463675,0.0,130,,
674,657.0,12,202.26699880450863,30720,0.7344983657296935,2513,15,0.5868163544806245,-0.002371309085719986,1.133756399154663,0.0033903914,-0.1920486509334296,0.9724264144897461,0.0001,0.2,2.5442553093424065,0.03310546875,140,,
195,180.0,12,54.942734425820525,32768,0.744858844157977,2645,16,0.5955345465586735,-0.00019878547718690242,6.12762975692749,2.4564011e-05,-0.0015346780584195585,0.5926100015640259,0.0001,0.2,2.6674162596988027,0.000341796875,150,,
707,692.0,12,212.85275925632752,34816,0.7386243843501157,2776,17,0.5910127417960295,-0.0011762897986045573,3.079420328140259,0.0056415107,-0.14989765890350099,0.9844118356704712,0.0001,0.2,2.810592919168994,0.03212890625,160,,
236,225.5,12,71.73036128868381,36864,0.7521262663274498,2907,18,0.6111632821671034,-3.2787931559141727e-06,0.15418340265750885,0.0,-0.0005068727107740756,0.8451986312866211,0.0001,0.2,3.045409985992592,0.0,170,,
748,737.5,12,227.02574561119357,38912,0.7590916837879362,3038,19,0.6067241707189198,-0.00030205097937141545,0.11030854284763336,0.0034803115,-0.12385553085005085,0.990225076675415,0.0001,0.2,2.9562339681433514,0.015771484375,180,,
49,,,,40000,0.7844552215264768,,,0.6126110091501352,1.53134431457147e-05,0.19159647822380066,4.6857167e-09,-0.0005083398628334734,0.8088198900222778,0.0001,0.2,1.6346039063064381,0.0,190,282.6077575683594,946.0
240,228.0,11,69.81350087466988,40960,0.7268503877334297,3629,20,0.599115951731801,,,,,,,,,,,,
752,740.0,11,227.43833988062684,43008,0.7534272277806985,3760,21,0.5960063031141428,0.001364092501171399,3.0941884517669678,0.00023099236,-0.12818101232478513,0.9938032627105713,0.0001,0.2,2.8621170426544267,0.00751953125,200,,
293,277.75,11,84.08672014362855,45056,0.726657549548678,3890,22,0.5978919362248821,1.0168470907956361e-06,0.3625696301460266,1.0157237e-08,-0.001015969410040185,0.7037001848220825,0.0001,0.2,1.9246129094215576,0.0,210,,
805,789.75,11,241.60242847765713,47104,0.7430722737071677,4021,23,0.5936890236339214,-0.0023217159265186637,0.5700968503952026,0.0025617962,-0.10780293445969624,0.994402289390564,0.0001,0.2,2.951322705601342,0.016259765625,220,,
