custom/images_selected,custom/mean_confidence,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,custom/mean_entropy,time/fps,time/iterations,time/time_elapsed,train/entropy_loss,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/loss,eval/mean_reward,eval/mean_ep_length
298,0.5975610737805255,500.0,84.07841161458468,2048,0.7594583374302601,13,1,151,,,,,,,,,,,,
810,0.5974783622659743,1012.0,240.31010677953094,4096,0.7553500947906286,13,2,294,-0.0023801464197514563,10,0.2,13.401296011195518,0.99921875,0.23602694111905292,23.663744,0.0003,0.7478197813034058,1.2317360639572144,,
370,2.4905067203012674,335.25,399.09796002623875,6144,3.126650476928901,14,3,436,-0.0008411087031818969,20,0.2,5.577742623421363,0.00068359375,-0.00010534628490859177,0.0,0.0003,0.8923178911209106,0.6051123738288879,,
882,1.3901294910448208,847.25,559.2212565009537,8192,1.7498790351737317,14,4,577,-0.09403504906288758,30,0.2,8.232284862548113,0.078271484375,-0.0006596897699637338,0.0002496991,0.0003,0.9018436670303345,2.5289762020111084,,
447,3.424579996323959,407.5,714.1467225161136,10240,4.31422181716668,14,5,716,-0.0045136325664816394,40,0.2,4.490921874949708,0.002587890625,-0.0005721372202970087,2.3830216e-07,0.0003,0.8605391383171082,0.9719598889350891,,
12,153.56537833809853,805.86,867.4620516530979,12288,192.23167151367912,14,6,854,-0.03479999913310179,50,0.2,6.084059764281847,0.006005859375,0.002371466519252863,0.0028955755,0.0003,0.7392318248748779,1.126915454864502,,
524,4.087099869003278,472.25,1031.424787608473,14336,5.1419240520158,14,7,991,-0.10518622598012446,60,0.2,2.840380795003148,0.173193359375,0.0066057294152415125,1.884934,0.0003,0.568692684173584,0.9823035597801208,,
27,90.55081882410579,711.94,1167.2822022739608,16384,114.35817938173811,14,8,1127,-0.036154146229585994,70,0.2,7.274303202703595,0.004736328125,-0.0001683586302533513,0.0002970956,0.0003,0.20871132612228394,8.720687866210938,,
539,5.102370131214828,485.25,1334.3220101038232,18432,6.439253858655194,14,9,1263,-0.22455166863801423,80,0.2,3.1865332604094876,0.059326171875,0.006096169386000838,0.0049556824,0.0003,0.6153552532196045,3.6008312702178955,,
907,3.2055242834873097,,,20000,4.048678708681336,,,,-0.029314751986550647,90,0.2,8.62598025330808,0.0,-0.00012792801462637726,1.2984223e-05,0.0003,0.8306525349617004,4.98022985458374,298.6460876464844,945.0
119,34.836774003257354,108.0,2086.9725900870358,20480,44.02746805292554,10,10,1873,,,,,,,,,,,,
631,7.084770176606842,620.0,2243.834553531674,22528,8.964557570543825,11,11,2007,-0.038695649215398475,100,0.2,6.407645320170559,0.027392578125,-0.001151518651022343,0.0006579032,0.0003,0.5303589105606079,3.7604496479034424,,
157,30.464653943754307,140.75,2392.0920777207957,24576,38.51471179983561,11,12,2141,-0.00045934782442600406,110,0.2,6.5382500773645,0.0,-2.2629421437159182e-06,0.0,0.0003,0.7126196622848511,0.239082932472229,,
