rollout/ep_len_mean,time/time_elapsed,custom/mean_confidence,time/fps,time/iterations,time/total_timesteps,custom/images_selected,custom/mean_entropy,rollout/ep_rew_mean,train/loss,train/value_loss,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
500.0,149,0.5863541351864114,13,1,2048,417,0.7537679793313146,126.03634918833016,,,,,,,,,,,,
1012.0,292,0.5885821164702065,14,2,4096,911,0.7493844708806137,279.1049173953677,0.6968526840209961,1.8883949738112278,2.0382032,0.2,0.0001,10,0.61318359375,0.04222702964325435,0.6444328427314758,-0.05606371558540424,,
436.5,434,0.6057701055208842,14,3,6144,450,0.7283390838901201,133.5686455964353,0.6588975191116333,3.156059876549989,0.0007554561,0.2,0.0001,20,0.0263671875,0.004736007485917071,0.2589678168296814,-0.16450199973678536,,
948.5,575,0.5929964686939474,14,4,8192,942,0.7357813332407985,284.8935991411638,0.37182241678237915,1.978877342795022,0.0008866511,0.2,0.0001,30,0.0044921875,9.260869992431254e-05,-1.951430082321167,-0.08219634322808667,,
482.25,716,0.5927703353598361,14,5,10240,508,0.7515044194594847,151.47445186806306,1.5716794729232788,1.605571903870441,0.0060627274,0.2,0.0001,40,0.013330078125,0.0013118092116201296,0.3925909399986267,-0.1209873609436272,,
411.19,855,0.5817685867178028,14,6,12288,29,0.7438098911581368,121.65306478839186,0.4463677704334259,2.7557718646829015,1.613982e-05,0.2,0.0001,50,0.0,-0.0002002209257625509,0.49479806423187256,-0.024114353177008496,,
516.75,994,0.6131681471016402,14,7,14336,541,0.7409523985522511,158.78883067559428,0.6992116570472717,3.2150300739798694,0.004200492,0.2,0.0001,60,0.03193359375,-0.0011304335050226655,0.7240668535232544,-0.13798681084222153,,
61.5,1131,0.6038929160903482,14,8,16384,85,0.7579260370310615,20.743196817008815,0.29119065403938293,3.43003241881961,6.693881e-10,0.2,0.0001,70,0.0,-1.1155167157994584e-06,0.571082592010498,-0.0003382870799613031,,
573.5,1267,0.6051407201805307,14,9,18432,597,0.7401538573367712,180.08932570269607,2.421994686126709,2.537367402506061,0.0008430569,0.2,0.0001,80,0.0091796875,-0.00010277232722728513,0.9334384202957153,-0.09659877150306784,,
,,0.6043504842440126,,,20000,944,0.7401993431392228,,2.4624216556549072,4.070627287880052,2.066372e-09,0.2,0.0001,90,0.0,-3.3708856790326535e-07,0.45343637466430664,-4.044494408521615e-05,287.80157470703125,945.0
108.0,1879,0.5992421959837277,10,10,20480,120,0.7324036293352644,34.314014406349266,,,,,,,,,,,,
620.0,2015,0.6015030293242086,11,11,22528,632,0.7431040248138052,191.26060608588548,0.9386062026023865,6.237108270521276,0.019453198,0.2,0.0001,100,0.018798828125,0.0008537660800357116,0.8324896693229675,-0.13187503624285454,,
168.5,2149,0.5982111797227965,11,12,24576,182,0.7614185665171225,52.645409110194436,0.5637909173965454,4.321399275097065,0.0,0.2,0.0001,110,0.0,1.1925294529646635e-09,-0.03258359432220459,-2.133011771833504e-06,,
680.5,2284,0.6006803303012244,11,13,26624,694,0.7580759104029933,210.26356375494953,2.466233730316162,3.9536704724188896,0.00020108736,0.2,0.0001,120,0.00576171875,0.0009280295067583211,0.9271141886711121,-0.11005460959095217,,
217.75,2419,0.5875114980524621,11,14,28672,226,0.7436051713549985,67.5779820024244,0.8142081499099731,3.4746726608718745,0.0,0.2,0.0001,130,0.0,4.893663572147489e-08,-1.0309665203094482,-1.8162349118105993e-05,,
729.75,2555,0.5935448418222469,12,15,30720,738,0.7543864328424298,228.9699679578746,0.4879038333892822,3.194713365996722,0.006794801,0.2,0.0001,140,0.01396484375,-0.0009492865377978887,0.9626441597938538,-0.09673173786660812,,
282.0,2690,0.6049117045444354,12,16,32768,285,0.7360554922568171,86.80753199438897,3.0429110527038574,3.204024842043873,0.0,0.2,0.0001,150,0.0,-4.926914698444307e-09,0.4226071834564209,-3.344427121133105e-06,,
794.0,2823,0.6049858394500751,12,17,34816,797,0.7451212233963096,247.0491793832091,0.514069139957428,3.32940889155725,0.00046236336,0.2,0.0001,160,0.00478515625,0.00021010668424423785,0.9714387059211731,-0.07360349899879566,,
354.0,2957,0.5980622169044283,12,18,36864,360,0.7716199515594376,109.51684884839332,0.8514519333839417,2.3804548724903727,-1.1641532e-10,0.2,0.0001,170,0.0,-1.601001713424921e-08,-0.3616807460784912,-1.3963169714628014e-05,,
866.0,3090,0.6003637583157339,12,19,38912,860,0.7595940667691581,265.81791258068694,1.4392547607421875,3.2099437203025447,0.014410339,0.2,0.0001,180,0.152197265625,-0.01667112902359804,0.9731996059417725,-0.14688182441668687,,
