custom/images_selected,rollout/ep_len_mean,time/fps,time/total_timesteps,custom/mean_confidence,rollout/ep_rew_mean,time/time_elapsed,time/iterations,custom/mean_entropy,train/n_updates,train/entropy_loss,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
417,500.0,11,2048,0.6212824269896373,127.66384530573362,173,1,0.761010403293767,,,,,,,,,,,,
761,1012.0,12,4096,0.6130504250468221,234.49175494890608,333,2,0.7555433138259104,10,-0.25832171818619826,0.28237372636795044,0.344287109375,2.0356234730104914,0.2,0.02483493,0.0001,0.01854157400375698,0.6564019918441772,,
171,175.25,12,6144,0.6021295180139334,50.45853015257529,489,3,0.7308356828339722,20,-0.5146245626034215,0.5523943901062012,0.316357421875,1.2113200671388769,0.2,0.033562213,0.0001,-0.01596337197770481,0.3321073651313782,,
660,687.25,12,8192,0.6069347755234132,199.12347225330097,642,4,0.7258369835420115,30,-0.44450679037254304,0.5592081546783447,0.080224609375,2.2505505218170585,0.2,0.041401178,0.0001,-0.002652727282838896,-0.8357664346694946,,
46,45.5,13,10240,0.5700978377591008,13.839086764879777,785,5,0.7843019444009532,40,-0.1706467549636727,0.9008786678314209,0.032470703125,2.011071828845888,0.2,0.0038366392,0.0001,0.00015047821070766077,-0.27926766872406006,,
551,557.5,13,12288,0.6139279065593597,170.54919139981877,928,6,0.7522684750564423,50,-0.5002779432572424,1.4929906129837036,0.253759765625,1.9554616898531094,0.2,0.037821926,0.0001,-0.016263828651426594,0.39546841382980347,,
912,851.7,13,14336,0.6069042694624339,223.64273627808316,1075,7,0.7448694480321953,60,-0.06902768460277002,0.6595830917358398,0.006396484375,2.1148681197548287,0.2,0.018318782,0.0001,0.00186234950524522,0.5800490379333496,,
443,462.75,13,16384,0.6214387417512338,137.79366380934403,1222,8,0.7324710196687191,70,-0.4730055501218885,0.41071414947509766,0.223486328125,1.485922082484467,0.2,0.06854503,0.0001,-0.013897885962069267,0.7217220067977905,,
893,922.8,13,18432,0.6127865623429184,260.30533918938653,1366,9,0.7451703905435133,80,-0.07521634338991134,1.098462700843811,0.000634765625,2.5798172293929382,0.2,9.384035e-06,0.0001,0.0001472823576477822,0.9333266019821167,,
304,,,20000,0.6084034600736279,,,,0.771652619109342,90,-0.2617289911257103,0.3924412727355957,0.08818359375,1.3113583446771373,0.2,0.019601887,0.0001,-0.006277452999347588,0.857158899307251,945.0,288.14312744140625
120,108.0,10,20480,0.5868894033133983,33.69047474929025,2001,10,0.7229064361813168,,,,,,,,,,,,
632,620.0,10,22528,0.5929733830256553,192.4006980763207,2139,11,0.739825116641395,100,-0.07858447840615099,3.152083396911621,0.0001953125,3.220057321235072,0.2,3.438817e-05,0.0001,1.5196373351500369e-05,0.964786946773529,,
129,121.0,10,24576,0.598580703254818,37.222111701651194,2277,12,0.7651068720706674,110,-0.012975368096977035,0.18672992289066315,0.0017578125,2.4720940071856603,0.2,0.0005772618,0.0001,-0.00023957665471243672,0.8848886489868164,,
641,633.0,11,26624,0.5983848529468274,197.24216822358008,2415,13,0.7561710651574566,120,-0.2241975702228956,1.2487921714782715,0.05244140625,2.3335724458796903,0.2,0.013816291,0.0001,-0.002410607983620139,0.968611478805542,,
150,133.0,11,28672,0.620312116543452,39.494740402951955,2553,14,0.7727712194621563,130,-0.0026688652332040874,0.19464866816997528,0.0,3.6706399253802373,0.2,4.376634e-07,0.0001,-1.696424660622142e-05,0.5590866804122925,,
662,645.0,11,30720,0.6152029326495086,196.62563775202554,2690,15,0.7475409716525286,140,-0.19115985388343687,1.8625484704971313,0.075439453125,2.414697545603849,0.2,0.024565836,0.0001,-0.004485466417099815,0.971699595451355,,
188,170.5,11,32768,0.5786226794440695,52.876032621679684,2827,16,0.7901413202919858,150,-0.0004872833324789383,0.8124498128890991,0.0,3.4275484959362075,0.2,4.976755e-09,0.0001,-1.349508238490671e-07,0.5442459583282471,,
700,682.5,11,34816,0.5901687945212637,211.68679294408292,2962,17,0.7631438067768301,160,-0.1516509305918589,2.752523183822632,0.020166015625,2.617217406083364,0.2,0.0007363162,0.0001,-0.0022047254838980733,0.9819837808609009,,
233,218.25,11,36864,0.5945133313600598,65.86798977937877,3097,18,0.7347759296597969,170,-0.0002049635255536586,0.08179169148206711,0.0,2.5996839798404836,0.2,9.313226e-10,0.0001,9.818443504627795e-06,-0.05463898181915283,,
745,730.25,12,38912,0.6042796962213196,219.46714977639908,3231,19,0.7399490149054151,180,-0.1519911187257094,1.215311884880066,0.012353515625,2.5854246088885704,0.2,0.0013221494,0.0001,0.0018254587626870488,0.9826204776763916,,
49,,,40000,0.5852842993882238,,,,0.7763445717947823,190,-0.0001979093059853998,0.6718813180923462,0.0,2.231460974609945,0.2,0.0,0.0001,-4.2671672417782247e-07,0.487804651260376,1017.2,293.3434143066406
240,214.0,10,40960,0.6086850134034951,66.14932251381228,3874,20,0.7531001361086964,,,,,,,,,,,,
752,726.0,10,43008,0.597279362776812,227.46181667587607,4014,21,0.7625476617881275,200,-0.1454062387761951,0.523682713508606,0.00654296875,2.761156419874169,0.2,0.0052697854,0.0001,-7.268202898558229e-06,0.9878822565078735,,
249,224.25,10,45056,0.593205839275835,68.37340117349615,4148,22,0.7504254482596754,210,-0.015849614000487122,0.6612135767936707,0.0,2.223551926307846,0.2,0.0001326986,0.0001,-0.0003729639505763771,0.3648422956466675,,
752,736.25,11,47104,0.5983486946246314,221.99683761762054,4280,23,0.7469909883810405,220,-0.25655593174742536,1.0080646276474,0.037646484375,2.264864896517247,0.2,0.0040474534,0.0001,0.0015018668062111828,0.9903262853622437,,
243,206.5,11,49152,0.5957420427858093,64.55101089058404,4416,24,0.751037703252133,230,-0.0661473656684393,0.7123761773109436,0.01123046875,1.8894568299059755,0.2,0.0005561424,0.0001,-0.001492102836346021,0.7468039989471436,,
753,718.5,11,51200,0.5999921184896634,218.902516946512,4550,25,0.7344057787135737,240,-0.28041274136630817,0.2704368233680725,0.02900390625,2.0482023774588014,0.2,0.0025432813,0.0001,-0.0016386638366384433,0.9966803789138794,,
275,232.0,11,53248,0.5948594587499445,70.40201421708863,4684,26,0.7543848831545222,250,-0.029924179164595444,0.893916666507721,0.003564453125,1.5048887177952566,0.2,0.0060737818,0.0001,0.0002944651623693062,0.9323202967643738,,
787,744.0,11,55296,0.5970970819381171,228.0666651094817,4817,27,0.754894383986548,260,-0.1825573393245577,0.10303576290607452,0.021240234375,1.856461846223101,0.2,0.0053226463,0.0001,-0.002320838922605617,0.9945374131202698,,
321,276.0,11,57344,0.6063824148378639,83.53855025134597,4951,28,0.718440222858547,270,-0.003915374589732323,0.3321932852268219,0.00048828125,1.588914570119232,0.2,0.00013006027,0.0001,-6.528016492666212e-05,0.9428389668464661,,
833,788.0,11,59392,0.6068592372418595,240.4163209172479,5082,29,0.7299048790366066,280,-0.12088986502717489,0.4812934696674347,0.01572265625,2.1263610312249512,0.2,0.0016456619,0.0001,0.00018439626073813998,0.9958314895629883,,
17,,,60000,0.5737002369235543,,,,0.7504542855655446,290,-0.004959929512655314,1.5858421325683594,0.0,1.3234943841118365,0.2,3.6437996e-08,0.0001,-1.28296269394923e-06,0.9461941719055176,972.6,293.0384826660156
360,376.5,10,61440,0.5850566806064712,115.58082069650675,5746,30,0.7543373516036405,,,,,,,,,,,,
871,888.5,10,63488,0.592687317845198,267.7774799215186,5892,31,0.7399801151023819,300,-0.07992910033464881,1.801863431930542,0.000439453125,5.823278275755001,0.2,3.4493947e-05,0.0001,7.315082984860055e-05,0.9268915057182312,,
414,431.0,10,65536,0.6094900530893446,133.11942069453292,6027,32,0.7412734977532052,310,-0.03198314755552474,1.0150349140167236,0.002197265625,0.980570757377427,0.2,1.8608218e-05,0.0001,0.0001619588234461844,0.9787110090255737,,
917,884.86,10,67584,0.6075272078969823,267.365739495838,6162,33,0.7404485660027833,320,-0.07424772072670498,3.0102195739746094,0.000439453125,3.1799096898408608,0.2,0.000115446324,0.0001,7.326672421186231e-05,0.9945806860923767,,
471,486.75,11,69632,0.6040065764368466,149.08054488446749,6304,34,0.7574963964316243,330,-0.07389625310840983,0.7136474251747131,0.005859375,0.9014277855341788,0.2,0.001840526,0.0001,-0.00015778401284478606,0.9929020404815674,,
27,39.25,11,71680,0.6007445454597473,12.893374497513193,6447,35,0.8009659261615188,340,-0.017770085739506065,0.8630070686340332,0.000146484375,1.9912897637987044,0.2,6.570823e-05,0.0001,-7.571791829832363e-05,0.9843981266021729,,
539,551.25,11,73728,0.6030579114225667,170.4244102471201,6591,36,0.7469334522873882,350,-0.06195871874997181,1.0328168869018555,0.00263671875,1.1713804920378608,0.2,0.0013732815,0.0001,0.00012292565588722937,0.9939089417457581,,
95,105.5,11,75776,0.5794458608878287,32.233614163999626,6738,37,0.7451769703312924,360,-4.8020749179506584e-14,2.549952983856201,0.0,3.0521034561039415,0.2,0.0,0.0001,4.711182555183768e-10,0.7199035882949829,,
607,617.5,11,77824,0.6043143387779569,188.56090890248163,6877,38,0.7477094101945101,370,-0.05381639564387371,0.4363653361797333,0.00126953125,1.32431151830242,0.2,7.789438e-05,0.0001,4.987822103430517e-05,0.9941118955612183,,
160,173.0,11,79872,0.6058539777994156,52.12743435292848,7010,39,0.7672810100018979,380,-2.3536853908607606e-11,1.000490427017212,0.0,1.0290460469201208,0.2,0.0,0.0001,2.6702764444053175e-10,0.07467800378799438,,
191,,,80000,0.6028128110301432,,,,0.7704331584625843,390,-0.05496249417094108,0.8456461429595947,0.002099609375,2.205517201917246,0.2,0.0008038219,0.0001,0.00023205602483358234,0.9947806000709534,945.0,285.8968811035156
480,468.0,10,81920,0.5930636246378224,145.98653094220862,7634,40,0.7405371884815395,,,,,,,,,,,,
37,25.0,10,83968,0.5920980274677277,8.113975182852473,7766,41,0.7719635673471399,400,-6.329035127718245e-20,12.284368515014648,0.0,4.907456653914414,0.2,0.0,0.0001,2.6775524020195005e-10,0.2921791672706604,,
549,537.0,10,86016,0.6122168215137579,165.48029280925158,7899,42,0.7425018542994133,410,-0.04679327814615375,0.3748454749584198,0.0015625,1.1253768203605432,0.2,0.00056060916,0.0001,5.997999178362079e-05,0.9956434965133667,,
94,85.75,10,88064,0.5717460148512049,25.706689512164367,8034,43,0.7657793941015892,420,-1.3797964381419907e-15,1.4299142360687256,0.0,5.676484441547655,0.2,0.0,0.0001,6.79574441164732e-10,0.7759465575218201,,
606,597.75,11,90112,0.5824139002624518,185.02636241028162,8170,44,0.7540800143586527,430,-0.05003996970436307,0.06596849113702774,0.008203125,1.3184226972633042,0.2,0.0015104843,0.0001,-0.0009677029607701116,0.9950821399688721,,
167,157.25,11,92160,0.5854660020973868,48.65036349652262,8315,45,0.7442976992555007,440,-6.123537348060015e-16,1.367847204208374,0.0,2.0409357710916085,0.2,0.0,0.0001,1.1641532182693481e-09,0.7791318893432617,,
679,669.25,11,94208,0.5985242427712161,207.80959086961516,8454,46,0.7538193983515513,450,-0.03976326576117151,0.2393534630537033,0.00048828125,1.4223779192485382,0.2,7.889757e-06,0.0001,5.1229074597358706e-05,0.9957403540611267,,
231,225.25,11,96256,0.6115931080275284,71.03224784732389,8597,47,0.7556557801604529,460,-1.1476526546192112e-12,0.5531131029129028,0.0,1.4871472116268705,0.2,0.0,0.0001,1.2456439435482024e-09,0.8251323103904724,,
743,737.25,11,98304,0.6087255831682505,227.33802680824746,8743,48,0.7445666932953399,470,-0.03598359460767037,0.0919092521071434,0.0060546875,1.561951854202198,0.2,0.0023686036,0.0001,-0.0006220161001692758,0.9969252943992615,,
209,,,100000,0.6105809994576651,,,,0.7421467427574276,480,-3.208314274266781e-13,0.1564658135175705,0.0,1.1461730954470113,0.2,0.0,0.0001,1.1074007488787173e-09,0.7982901930809021,945.0,288.1331787109375
88,76.0,10,100352,0.6610702320256017,23.310000338412088,9386,49,0.6956809672781012,,,,,,,,,,,,
