time/iterations,custom/mean_confidence,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,custom/mean_entropy,custom/images_selected,time/time_elapsed,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/loss,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range,eval/mean_reward,eval/mean_ep_length
1,0.5935390837257728,125.4071150405417,500.0,13,2048,0.7300182618346298,417,149,,,,,,,,,,,,
2,0.6088694022037089,223.57926158930692,1012.0,13,4096,0.7365314536345977,748,295,1.862612165696919,0.6188644170761108,0.013763031070993748,0.23134765625,-0.3521764769422589,0.3330688774585724,0.03474096,0.0001,10,0.2,,
3,0.5784376303470412,42.3853904411929,147.5,14,6144,0.7680081052835598,161,438,0.9569170105154626,0.23083239793777466,-0.02112470463325735,0.34990234375,-0.5579945070203394,0.31046026945114136,0.026883032,0.0001,20,0.2,,
4,0.599349012543932,184.8870929279848,659.5,14,8192,0.7506255874007243,631,579,2.0884088780963794,-0.7619969844818115,-0.0047739557900058575,0.131884765625,-0.4550331691978499,0.7801772356033325,0.029759394,0.0001,30,0.2,,
5,0.6540127396583557,176.3712684348427,720.52,14,10240,0.7377220019698143,14,719,1.724094898684416,0.1839725375175476,-0.0029518490850023228,0.054443359375,-0.23125429865322075,0.5127430558204651,0.005689823,0.0001,40,0.2,,
6,0.6037201362984262,151.43968923798872,505.5,14,12288,0.7451832202960783,523,858,1.9137411743518897,0.7509458661079407,-0.02312947656973847,0.32392578125,-0.503807999426499,0.5322902202606201,0.052900612,0.0001,50,0.2,,
7,0.599627712874284,213.85910772333807,759.25,14,14336,0.7442940334378525,939,997,2.7035210811533035,0.858801543712616,4.972574461135082e-05,0.00087890625,-0.02884454501036089,0.4782167077064514,4.1317777e-05,0.0001,60,0.2,,
8,0.6067203371389674,146.98083451267328,489.5,14,16384,0.7536061888462618,494,1134,1.6302363997790963,0.8638994097709656,-0.00814175626001088,0.076123046875,-0.2984923595038708,0.44926396012306213,0.013375393,0.0001,70,0.2,,
9,0.6094723877387777,209.94565127739162,748.75,14,18432,0.743481775519862,938,1271,3.538470400404185,0.9038709998130798,0.00030144918491714634,0.0005859375,-0.027522679518665428,0.9292328357696533,0.00068126526,0.0001,80,0.2,,
,0.5971770482358958,,,,20000,0.7523261679429807,379,,1.6776999472407623,0.9161434173583984,-0.0016225675033638253,0.043798828125,-0.2373392575827893,0.4288873076438904,0.011452203,0.0001,90,0.2,287.64154052734375,945.0
10,0.5889574108024438,32.98829470942982,108.0,10,20480,0.732297483086586,120,1882,,,,,,,,,,,,
11,0.5986337888561473,191.09785945348824,620.0,11,22528,0.7542430879194525,632,2017,4.41481151424814,0.9085153937339783,-2.4419324472546577e-05,0.0,-0.021957791092941648,0.20695826411247253,3.2603857e-06,0.0001,100,0.2,,
12,0.6292886942625046,39.86967248866025,131.75,11,24576,0.729677710096751,140,2150,2.4416227286856156,0.827373743057251,8.152716691256501e-06,0.0,-0.0031688024853337993,0.2429940402507782,9.4703864e-08,0.0001,110,0.2,,
13,0.6037236394052126,199.94626838433834,643.75,11,26624,0.7522550480200286,652,2283,2.156645781872794,0.978722870349884,0.0005389760306570679,0.032177734375,-0.2085251658660127,0.18029358983039856,0.030644998,0.0001,120,0.2,,
14,0.615726323964084,55.04668937247371,172.0,11,28672,0.7538810364550945,191,2416,3.190938818792347,0.6195318102836609,9.072973625734448e-08,0.0,-0.00010783700276686403,3.185457706451416,8.731149e-11,0.0001,130,0.2,,
15,0.611106000363742,212.87220438684847,684.0,12,30720,0.7465063358099329,703,2548,2.213563191209687,0.9813594818115234,-0.001632950240309583,0.02158203125,-0.124963100678724,2.2508127689361572,0.005009965,0.0001,140,0.2,,
16,0.5813417544364929,71.35413123129939,225.75,12,32768,0.7640439120531082,250,2680,2.5041085580014624,-1.2212896347045898,2.3324537323787807e-08,0.0,-3.989243994457214e-05,0.3512518107891083,0.0,0.0001,150,0.2,,
17,0.6031328814001534,227.91178972512623,737.75,12,34816,0.7500429966357436,762,2813,2.936806393810548,0.9610010981559753,0.0015032354720460716,0.0109375,-0.12874543652851572,7.769716262817383,3.474165e-05,0.0001,160,0.2,,
18,0.5860293891869093,85.07151174597746,282.25,12,36864,0.7368873146509654,304,2944,2.3290089398389684,-1.621156930923462,-9.740533278090879e-06,0.0,-0.00040826276354937184,3.1524767875671387,7.916242e-09,0.0001,170,0.2,,
19,0.5948444298085045,244.98943002678695,794.25,12,38912,0.757507122176535,816,3077,2.609683176106773,0.9460082054138184,-0.0003009456435393076,0.009912109375,-0.13364919678861042,0.2004915028810501,0.00010371565,0.0001,180,0.2,,
,0.6045032058049131,,,,40000,0.7366726862059699,108,,1.7443278920836747,-0.4492589235305786,-8.951432137109805e-05,0.0,-0.002701678385348316,0.5803816914558411,2.886809e-07,0.0001,190,0.2,287.79638671875,945.0
20,0.6071401295562585,70.220570305427,228.0,11,40960,0.7506337938209374,240,3671,,,,,,,,,,,,
21,0.602886678532083,230.0927594964045,740.0,11,43008,0.753937518006151,752,3802,2.8406160856189673,0.9638252258300781,0.0002720816832152195,0.00419921875,-0.12740168161972662,0.5255157351493835,4.388817e-05,0.0001,200,0.2,,
22,0.6012124962923003,57.52616834521184,187.75,11,45056,0.7536769790620339,204,3934,1.5067913696053439,-0.5636851787567139,-0.002071805294690421,0.015234375,-0.038510617911104814,0.9726414680480957,0.010508427,0.0001,210,0.2,,
23,0.6057070908519846,207.55096538679433,699.75,11,47104,0.7546863457398435,691,4065,2.0862766804173587,0.9646947383880615,-0.0004738727911899332,0.050341796875,-0.3801212204038166,1.6204661130905151,0.0046063405,0.0001,220,0.2,,
24,0.6204260645797418,40.16611630708791,136.25,11,49152,0.7282905164379744,159,4197,2.084431592107285,0.3101990222930908,0.0029049247052171266,0.03623046875,-0.11329672880965518,0.17929808795452118,0.0285819,0.0001,230,0.2,,
25,0.6031806137629309,193.77214790031212,648.25,11,51200,0.7490756939180562,669,4328,2.09396503737662,0.9929539561271667,-0.004282543165027164,0.03935546875,-0.37684293310157957,0.9366868734359741,0.0048738453,0.0001,240,0.2,,
