custom/images_selected,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,custom/mean_entropy,custom/mean_confidence,time/fps,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
417,145,500.0,130.14292898086288,1,2048,0.7534596101322677,0.5935937156318687,14,,,,,,,,,,,,
763,288,1012.0,235.12472055694178,2,4096,0.7422279047823395,0.6013102938886732,14,0.2,0.186572265625,0.6072324514389038,0.009495923111535376,0.0001,-0.3689802957640495,0.058136724,10,0.577910304069519,1.8729073816444726,,
185,436,183.0,53.69225101920035,3,6144,0.7335011476340393,0.6228263513185084,14,0.2,0.29150390625,0.340366929769516,-0.01600463925205986,0.0001,-0.5087810531025753,0.03610095,20,0.34868746995925903,1.1296069935080595,,
677,583,695.0,202.0370226898618,4,8192,0.7412646149539135,0.6143485975282436,14,0.2,0.084130859375,0.3148009479045868,-0.004479692095628707,0.0001,-0.41449747149599714,0.035227902,30,-0.5310139656066895,2.4279597465414553,,
88,725,90.25,27.306730201731444,5,10240,0.763864822008393,0.6034947376359593,14,0.2,0.026171875,0.8458017110824585,0.00015428984916070475,0.0001,-0.1482674407074228,0.006401255,40,-0.4834810495376587,1.8333123534685,,
590,864,602.25,181.71208749351553,6,12288,0.7595043896262844,0.6073430721958478,14,0.2,0.2263671875,0.813407301902771,-0.011417522669944447,0.0001,-0.41291582935955373,0.05557578,50,0.5556368827819824,2.1345690525718966,,
73,1003,87.75,26.816541699693495,7,14336,0.7096716038984795,0.6232532630228016,14,0.2,0.0109375,0.3031069040298462,0.0027742560203478208,0.0001,-0.06270846541010541,0.011696122,60,0.37199437618255615,2.0939370123669505,,
585,1142,599.75,184.6383326421019,8,16384,0.7480349330311148,0.5951518251345708,14,0.2,0.061328125,2.597419023513794,-0.004422111060557654,0.0001,-0.2554859645664692,0.013013358,70,0.8529326915740967,2.3793539173377214,,
114,1283,118.75,35.62307160933213,9,18432,0.7699829198812184,0.6013293397008327,14,0.2,0.000927734375,0.11818508803844452,-4.3624679528875275e-05,0.0001,-0.000560088837843864,4.7063542e-05,80,0.41366827487945557,3.6657766626798547,,
505,,,,,20000,0.7470232436267457,0.6045645678987598,,0.2,0.0267578125,0.9779649972915649,-0.0011441317117714788,0.0001,-0.1723002472295775,0.0085638985,90,0.9463716745376587,2.828661758895032,293.09906005859375,1000.4
120,1940,130.0,41.52658485191764,10,20480,0.7959405884146691,0.5824933494130771,10,,,,,,,,,,,,
632,2075,642.0,198.009846002275,11,22528,0.7660213819221605,0.6006937221730058,10,0.2,0.0,0.5830576419830322,3.786262823268771e-08,0.0001,-1.1014903020223344e-05,-2.6193447e-10,100,0.17478400468826294,7.151106610009447,,
167,2211,173.75,53.22493298652431,12,24576,0.7868720990811994,0.5898899325353657,11,0.2,0.0,3.4951088428497314,3.136410668957978e-08,0.0001,-0.00040706725266943523,1.4260877e-09,110,0.7280657291412354,3.372076615947299,,
679,2346,685.75,210.0487819501475,13,26624,0.7705851232026744,0.6089583349596593,11,0.2,0.01865234375,1.426334023475647,-0.0002723568453802727,0.0001,-0.133876415155828,0.0053695077,120,0.9624831676483154,2.7548007858917116,,
208,2486,214.0,67.40591718817821,14,28672,0.7541539495130285,0.5976109427328293,11,0.2,0.0,0.7080352902412415,-7.789482333464548e-06,0.0001,-0.0004287917135563646,2.4650944e-08,130,0.44914692640304565,3.619034469895996,,
720,2622,726.0,221.73618399401704,15,30720,0.7485045896066974,0.6011833842843771,11,0.2,0.0140625,1.199224591255188,0.0013604921958176419,0.0001,-0.14533806943109084,0.005510575,140,0.9689795970916748,3.316154969355557,,
261,2758,269.5,84.0195709830385,16,32768,0.7355013099495479,0.5848910518532968,11,0.2,0.0,1.6676907539367676,-2.626624336699024e-06,0.0001,-0.0003730954701739009,4.947651e-09,150,0.018468141555786133,3.1210845653084105,,
773,2895,781.5,243.21105951968275,17,34816,0.755659892586425,0.5965918296367354,12,0.2,0.00615234375,2.878929376602173,0.0007261571670824196,0.0001,-0.11578629585628733,0.0025258712,160,0.9799450039863586,3.1409721977601293,,
319,3032,328.5,100.19477995156734,18,36864,0.7331559985969508,0.5872483635584015,12,0.2,0.0,0.8119267225265503,-5.9411468100734055e-06,0.0001,-0.00092178875678215,2.598972e-08,170,0.6451048851013184,2.0869997796369715,,
831,3169,840.5,259.6846426199725,19,38912,0.7489613722628778,0.5897021862071917,12,0.2,0.00107421875,0.5235829949378967,-0.00010511055916140322,0.0001,-0.08908135040924213,0.00047440507,180,0.9867576956748962,3.389066667074803,,
130,,,,,40000,0.7592744058714463,0.6027247944703469,,0.2,0.000927734375,0.9199659824371338,-0.00045243055501487106,0.0001,-0.01435262241840567,0.0007047049,190,0.8339236974716187,1.593449898995459,286.39727783203125,1028.4
240,3826,287.5,86.65485084749572,20,40960,0.734963382780552,0.6092528842389584,10,,,,,,,,,,,,
751,3962,799.5,237.6290373270539,21,43008,0.7477730609318043,0.6016072405779616,10,0.2,0.005224609375,21.829526901245117,0.0007795422454364598,0.0001,-0.11356329609185108,0.005435986,200,0.9436211585998535,9.45321165972273,,
277,4095,313.5,94.43552252392888,22,45056,0.7584781751090439,0.604328308402416,11,0.2,0.012060546875,0.4123656749725342,0.00016716452955733985,0.0001,-0.03904411685189189,0.0027718253,210,0.9122030138969421,1.2959726500674151,,
788,4229,825.5,251.98493831888962,23,47104,0.7521890336683041,0.6055162167518916,11,0.2,0.0078125,0.8259786367416382,-0.00108384437407949,0.0001,-0.1500928034851677,0.002244168,220,0.9950334429740906,1.3521037515369243,,
323,4366,361.75,109.9470111539475,24,49152,0.731827198836272,0.5992836846102133,11,0.2,0.00830078125,1.3080097436904907,5.803128005936742e-05,0.0001,-0.013641467975198652,0.0023759832,230,0.9584105610847473,1.5571158398350236,,
