epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2836.33,3.22672,4.86857,3.48619,0.00425,0.10721,0.00475,0.00194,2.51264,inf,2.66803,3.96533e-05,3.96533e-05,3.96533e-05
2,7280.35,2.24229,3.74655,2.30838,0.18845,0.04234,0.01805,0.0084,2.15166,3.71229,2.19237,7.53936e-05,7.53936e-05,7.53936e-05
3,11840.3,2.02863,3.40017,2.04384,0.22694,0.07198,0.04577,0.02442,2.00051,3.00203,1.98831,0.000107207,0.000107207,0.000107207
4,16429.5,1.90657,3.14911,1.90472,0.24918,0.10817,0.06709,0.03679,1.85435,2.76278,1.86007,0.000101329,0.000101329,0.000101329
5,20140.2,1.81583,2.95745,1.81888,0.25001,0.13558,0.08886,0.05065,1.77637,2.58821,1.77218,9.5438e-05,9.5438e-05,9.5438e-05
6,23595.3,1.74814,2.80725,1.76036,0.26167,0.16172,0.11241,0.06507,1.71364,2.44841,1.71399,8.95475e-05,8.95475e-05,8.95475e-05
7,27754.9,1.7003,2.68064,1.71594,0.30528,0.17689,0.13284,0.07855,1.66003,2.32729,1.66472,8.3657e-05,8.3657e-05,8.3657e-05
8,31716,1.65254,2.57615,1.67551,0.30621,0.19749,0.151,0.08955,1.62064,2.2403,1.62829,7.77665e-05,7.77665e-05,7.77665e-05
9,34461.1,1.62169,2.48075,1.64418,0.33066,0.20636,0.16762,0.10132,1.58778,2.1571,1.59993,7.1876e-05,7.1876e-05,7.1876e-05
10,38550.4,1.58577,2.40729,1.61901,0.34447,0.22094,0.1838,0.11245,1.55184,2.0946,1.58261,6.59855e-05,6.59855e-05,6.59855e-05
11,42528.1,1.5773,2.33489,1.60227,0.36081,0.23048,0.19668,0.1213,1.52699,2.05174,1.54231,6.0095e-05,6.0095e-05,6.0095e-05
12,46548.8,1.54933,2.24885,1.58123,0.35311,0.24099,0.21055,0.13096,1.5037,2.00083,1.52641,5.42045e-05,5.42045e-05,5.42045e-05
13,49283.2,1.52012,2.16641,1.55496,0.36555,0.2512,0.22303,0.14007,1.48778,1.95273,1.5115,4.8314e-05,4.8314e-05,4.8314e-05
14,53031.6,1.49485,2.10248,1.53378,0.37834,0.25717,0.23156,0.14597,1.47065,1.92152,1.49471,4.24235e-05,4.24235e-05,4.24235e-05
15,60404.6,1.4764,2.0452,1.5181,0.39241,0.26332,0.24136,0.15244,1.45933,1.89274,1.4871,3.6533e-05,3.6533e-05,3.6533e-05
16,63169.9,1.45394,1.99541,1.50125,0.39812,0.26915,0.24954,0.15892,1.44693,1.86051,1.4755,3.06425e-05,3.06425e-05,3.06425e-05
17,66377.9,1.43646,1.94906,1.48731,0.40467,0.27425,0.25566,0.16309,1.44055,1.83997,1.46754,2.4752e-05,2.4752e-05,2.4752e-05
18,74464.2,1.41924,1.90569,1.47171,0.40766,0.27815,0.26055,0.16676,1.43411,1.82348,1.46193,1.88615e-05,1.88615e-05,1.88615e-05
19,79317.7,1.40575,1.86874,1.46175,0.41391,0.28075,0.26426,0.16934,1.42921,1.81065,1.45809,1.2971e-05,1.2971e-05,1.2971e-05
20,84292.8,1.3924,1.8393,1.45533,0.41307,0.28381,0.26693,0.17143,1.42625,1.80166,1.45549,7.0805e-06,7.0805e-06,7.0805e-06
